year,month,day,Barkley,Center Hill,Cheatham,Cordell Hull,Dale Hollow,J Percy Priest,Old Hickory,Wolf Creek
2016,3,19,10,0,0,0,0,0,0,0
2016,3,20,10,0,0,0,0,0,0,0
2016,3,21,10,0,0,0,0,0,0,0
2016,3,22,10,0,0,0,0,0,0,0
2016,3,23,10,0,0,0,0,0,0,0
2016,3,24,10,0,0,0,0,0,0,0
2016,3,25,10,0,0,0,0,0,0,0
2016,3,26,10,0,0,0,0,0,0,0
2016,3,27,10,0,0,0,0,0,0,0
2016,3,28,10,0,0,0,0,0,0,0
2016,3,29,10,0,0,0,0,0,0,0
2016,3,30,10,0,0,0,0,0,0,0
2016,3,31,10,0,0,0,0,0,0,0
2016,4,1,10,0,0,0,0,0,0,0
2016,4,2,10,0,0,0,0,0,0,0
2016,4,3,10,0,0,0,0,0,0,0
2016,4,4,10,0,0,0,0,0,0,0
2016,4,5,10,0,0,0,0,0,0,0
2016,4,6,10,0,0,0,0,0,0,0
2016,4,7,10,0,0,0,0,0,0,0
2016,4,8,10,0,0,0,0,0,0,0
2016,4,9,10,0,0,0,0,0,0,0
2016,4,10,10,0,0,0,0,0,0,0
2016,4,11,10,0,0,0,0,0,0,0
2016,4,12,10,0,0,0,0,0,0,0
2016,4,13,10,0,0,0,0,0,0,0
2016,4,14,10,0,0,0,0,0,0,0
2016,4,15,10,0,0,0,0,0,0,0
2016,4,16,10,0,0,0,0,0,0,0
2016,4,17,10,0,0,0,0,0,0,0
2016,4,18,10,0,0,0,0,0,0,0
2016,4,19,10,0,0,0,0,0,0,0
2016,4,20,10,0,0,0,0,0,0,0
2016,4,21,10,0,0,0,0,0,0,0
2016,4,22,10,0,0,0,0,0,0,0
2016,4,23,10,0,0,0,0,0,0,0
2016,4,24,10,0,0,0,0,0,0,0
2016,4,25,10,0,0,0,0,0,0,0
2016,4,26,10,0,0,0,0,0,0,0
2016,4,27,10,0,0,0,0,0,0,0
2016,4,28,10,0,0,0,0,0,0,0
2016,4,29,10,0,0,0,0,0,0,0
2016,4,30,10,0,0,0,0,0,0,0
2016,5,1,10,0,0,0,0,0,0,0
2016,5,2,10,0,0,0,0,0,0,0
2016,5,3,10,0,0,0,0,0,0,0
2016,5,4,10,0,0,0,0,0,0,0
2016,5,5,10,0,0,0,0,0,0,0
2016,5,6,10,0,0,0,0,0,0,0
2016,5,7,10,0,0,0,0,0,0,0
2016,5,8,10,0,0,0,0,0,0,0
2016,5,9,10,0,0,0,0,0,0,0
2016,5,10,10,0,0,0,0,0,0,0
2016,5,11,10,0,0,0,0,0,0,0
2016,5,12,10,0,0,0,0,0,0,0
2016,5,13,10,0,0,0,0,0,0,0
2016,5,14,10,0,0,0,0,0,0,0
2016,5,15,10,0,0,0,0,0,0,0
2016,5,16,10,0,0,0,0,0,0,0
2016,5,17,10,0,0,0,0,0,0,0
2016,5,18,10,0,0,0,0,0,0,0
2016,5,19,10,0,0,0,0,0,0,0
2016,5,20,10,0,0,0,0,0,0,0
2016,5,21,10,0,0,0,0,0,0,0
2016,5,22,10,0,0,0,0,0,0,0
2016,5,23,10,0,0,0,0,0,0,0
2016,5,24,10,0,0,0,0,0,0,0
2016,5,25,10,0,0,0,0,0,0,0
2016,5,26,10,0,0,0,0,0,0,0
2016,5,27,10,0,0,0,0,0,0,0
2016,5,28,10,0,0,0,0,0,0,0
2016,5,29,10,0,0,0,0,0,0,0
2016,5,30,10,0,0,0,0,0,0,0
2016,5,31,10,0,0,0,0,0,0,0
2016,6,1,10,0,0,0,0,0,0,0
2016,6,2,10,0,0,0,0,0,0,0
2016,6,3,10,0,0,0,0,0,0,0
2016,6,4,10,0,0,0,0,0,0,0
2016,6,5,10,0,0,0,0,0,0,0
2016,6,6,10,0,0,0,0,0,0,0
2016,6,7,10,0,0,0,0,0,0,0
2016,6,8,10,0,0,0,0,0,0,0
2016,6,9,10,0,0,0,0,0,0,0
2016,6,10,10,0,0,0,0,0,0,0
2016,6,11,10,0,0,0,0,0,0,0
2016,6,12,10,0,0,0,0,0,0,0
2016,6,13,10,0,0,0,0,0,0,0
2016,6,14,10,0,0,0,0,0,0,0
2016,6,15,10,0,0,0,0,0,0,0
2016,6,16,10,0,0,0,0,0,0,0
2016,6,17,10,0,0,0,0,0,0,0
2016,6,18,10,0,0,0,0,0,0,0
2016,6,19,10,0,0,0,0,0,0,0
2016,6,20,10,0,0,0,0,0,0,0
2016,6,21,10,0,0,0,0,0,0,0
2016,6,22,10,0,0,0,0,0,0,0
2016,6,23,10,0,0,0,0,0,0,0
2016,6,24,10,0,0,0,0,0,0,0
2016,6,25,10,0,0,0,0,0,0,0
2016,6,26,10,0,0,0,0,0,0,0
2016,6,27,10,0,0,0,0,0,0,0
2016,6,28,10,0,0,0,0,0,0,0
2016,6,29,10,0,0,0,0,0,0,0
2016,6,30,10,0,0,0,0,0,0,0
2016,7,1,10,0,0,0,0,0,0,0
2016,7,2,10,0,0,0,0,0,0,0
2016,7,3,10,0,0,0,0,0,0,0
2016,7,4,10,0,0,0,0,0,0,0
2016,7,5,10,0,0,0,0,0,0,0
2016,7,6,10,0,0,0,0,0,0,0
2016,7,7,10,0,0,0,0,0,0,0
2016,7,8,10,0,0,0,0,0,0,0
2016,7,9,10,0,0,0,0,0,0,0
2016,7,10,10,0,0,0,0,0,0,0
2016,7,11,10,0,0,0,0,0,0,0
2016,7,12,10,0,0,0,0,0,0,0
2016,7,13,10,0,0,0,0,0,0,0
2016,7,14,10,0,0,0,0,0,0,0
2016,7,15,10,0,0,0,0,0,0,0
2016,7,16,10,0,0,0,0,0,0,0
2016,7,17,10,0,0,0,0,0,0,0
2016,7,18,10,0,0,0,0,0,0,0
2016,7,19,10,0,0,0,0,0,0,0
2016,7,20,10,0,0,0,0,0,0,0
2016,7,21,10,0,0,0,0,0,0,0
2016,7,22,10,0,0,0,0,0,0,0
2016,7,23,10,0,0,0,0,0,0,0
2016,7,24,10,0,0,0,0,0,0,0
2016,7,25,10,0,0,0,0,0,0,0
2016,7,26,10,0,0,0,0,0,0,0
2016,7,27,10,0,0,0,0,0,0,0
2016,7,28,10,0,0,0,0,0,0,0
2016,7,29,10,0,0,0,0,0,0,0
2016,7,30,10,0,0,0,0,0,0,0
2016,7,31,10,0,0,0,0,0,0,0
2016,8,1,10,0,0,0,0,0,0,0
2016,8,2,10,0,0,0,0,0,0,0
2016,8,3,10,0,0,0,0,0,0,0
2016,8,4,10,0,0,0,0,0,0,0
2016,8,5,10,0,0,0,0,0,0,0
2016,8,6,10,0,0,0,0,0,0,0
2016,8,7,10,0,0,0,0,0,0,0
2016,8,8,10,0,0,0,0,0,0,0
2016,8,9,10,0,0,0,0,0,0,0
2016,8,10,10,0,0,0,0,0,0,0
2016,8,11,10,0,0,0,0,0,0,0
2016,8,12,10,0,0,0,0,0,0,0
2016,8,13,10,0,0,0,0,0,0,0
2016,8,14,10,0,0,0,0,0,0,0
2016,8,15,10,0,0,0,0,0,0,0
2016,8,16,10,0,0,0,0,0,0,0
2016,8,17,10,0,0,0,0,0,0,0
2016,8,18,10,0,0,0,0,0,0,0
2016,8,19,10,0,0,0,0,0,0,0
2016,8,20,10,0,0,0,0,0,0,0
2016,8,21,10,0,0,0,0,0,0,0
2016,8,22,10,0,0,0,0,0,0,0
2016,8,23,10,0,0,0,0,0,0,0
2016,8,24,10,0,0,0,0,0,0,0
2016,8,25,10,0,0,0,0,0,0,0
2016,8,26,10,0,0,0,0,0,0,0
2016,8,27,10,0,0,0,0,0,0,0
2016,8,28,10,0,0,0,0,0,0,0
2016,8,29,10,0,0,0,0,0,0,0
2016,8,30,10,0,0,0,0,0,0,0
2016,8,31,10,0,0,0,0,0,0,0
2016,9,1,10,0,0,0,0,0,0,0
2016,9,2,10,0,0,0,0,0,0,0
2016,9,3,10,0,0,0,0,0,0,0
2016,9,4,10,0,0,0,0,0,0,0
2016,9,5,10,0,0,0,0,0,0,0
2016,9,6,10,0,0,0,0,0,0,0
2016,9,7,10,0,0,0,0,0,0,0
2016,9,8,10,0,0,0,0,0,0,0
2016,9,9,10,0,0,0,0,0,0,0
2016,9,10,10,0,0,0,0,0,0,0
2016,9,11,10,0,0,0,0,0,0,0
2016,9,12,10,0,0,0,0,0,0,0
2016,9,13,10,0,0,0,0,0,0,0
2016,9,14,10,0,0,0,0,0,0,0
2016,9,15,10,0,0,0,0,0,0,0
2016,9,16,10,0,0,0,0,0,0,0
2016,9,17,10,0,0,0,0,0,0,0
2016,9,18,10,0,0,0,0,0,0,0
2016,9,19,10,0,0,0,0,0,0,0
2016,9,20,10,0,0,0,0,0,0,0
2016,9,21,10,0,0,0,0,0,0,0
2016,9,22,10,0,0,0,0,0,0,0
2016,9,23,10,0,0,0,0,0,0,0
2016,9,24,10,0,0,0,0,0,0,0
2016,9,25,10,0,0,0,0,0,0,0
2016,9,26,10,0,0,0,0,0,0,0
2016,9,27,10,0,0,0,0,0,0,0
2016,9,28,10,0,0,0,0,0,0,0
2016,9,29,10,0,0,0,0,0,0,0
2016,9,30,10,0,0,0,0,0,0,0
2016,10,1,10,0,0,0,0,0,0,0
2016,10,2,10,0,0,0,0,0,0,0
2016,10,3,10,0,0,0,0,0,0,0
2016,10,4,10,0,0,0,0,0,0,0
2016,10,5,10,0,0,0,0,0,0,0
2016,10,6,10,0,0,0,0,0,0,0
2016,10,7,10,0,0,0,0,0,0,0
2016,10,8,10,0,0,0,0,0,0,0
2016,10,9,10,0,0,0,0,0,0,0
2016,10,10,10,0,0,0,0,0,0,0
2016,10,11,10,0,0,0,0,0,0,0
2016,10,12,10,0,0,0,0,0,0,0
2016,10,13,10,0,0,0,0,0,0,0
2016,10,14,10,0,0,0,0,0,0,0
2016,10,15,10,0,0,0,0,0,0,0
2016,10,16,10,0,0,0,0,0,0,0
2016,10,17,10,0,0,0,0,0,0,0
2016,10,18,10,0,0,0,0,0,0,0
2016,10,19,10,0,0,0,0,0,0,0
2016,10,20,10,0,0,0,0,0,0,0
2016,10,21,10,0,0,0,0,0,0,0
2016,10,22,10,0,0,0,0,0,0,0
2016,10,23,10,0,0,0,0,0,0,0
2016,10,24,10,0,0,0,0,0,0,0
2016,10,25,10,0,0,0,0,0,0,0
2016,10,26,10,0,0,0,0,0,0,0
2016,10,27,10,0,0,0,0,0,0,0
2016,10,28,10,0,0,0,0,0,0,0
2016,10,29,10,0,0,0,0,0,0,0
2016,10,30,10,0,0,0,0,0,0,0
2016,10,31,10,0,0,0,0,0,0,0
2016,11,1,10,0,0,0,0,0,0,0
2016,11,2,10,0,0,0,0,0,0,0
2016,11,3,10,0,0,0,0,0,0,0
2016,11,4,10,0,0,0,0,0,0,0
2016,11,5,10,0,0,0,0,0,0,0
2016,11,6,10,0,0,0,0,0,0,0
2016,11,7,10,0,0,0,0,0,0,0
2016,11,8,10,0,0,0,0,0,0,0
2016,11,9,10,0,0,0,0,0,0,0
2016,11,10,10,0,0,0,0,0,0,0
2016,11,11,10,0,0,0,0,0,0,0
2016,11,12,10,0,0,0,0,0,0,0
2016,11,13,10,0,0,0,0,0,0,0
2016,11,14,10,0,0,0,0,0,0,0
2016,11,15,10,0,0,0,0,0,0,0
2016,11,16,10,0,0,0,0,0,0,0
2016,11,17,10,0,0,0,0,0,0,0
2016,11,18,10,0,0,0,0,0,0,0
2016,11,19,10,0,0,0,0,0,0,0
2016,11,20,10,0,0,0,0,0,0,0
2016,11,21,10,0,0,0,0,0,0,0
2016,11,22,10,0,0,0,0,0,0,0
2016,11,23,10,0,0,0,0,0,0,0
2016,11,24,10,0,0,0,0,0,0,0
2016,11,25,10,0,0,0,0,0,0,0
2016,11,26,10,0,0,0,0,0,0,0
2016,11,27,10,0,0,0,0,0,0,0
2016,11,28,10,0,0,0,0,0,0,0
2016,11,29,10,0,0,0,0,0,0,0
2016,11,30,10,0,0,0,0,0,0,0
2016,12,1,10,0,0,0,0,0,0,0
2016,12,2,10,0,0,0,0,0,0,0
2016,12,3,10,0,0,0,0,0,0,0
2016,12,4,10,0,0,0,0,0,0,0
2016,12,5,10,0,0,0,0,0,0,0
2016,12,6,10,0,0,0,0,0,0,0
2016,12,7,10,0,0,0,0,0,0,0
2016,12,8,10,0,0,0,0,0,0,0
2016,12,9,10,0,0,0,0,0,0,0
2016,12,10,10,0,0,0,0,0,0,0
2016,12,11,10,0,0,0,0,0,0,0
2016,12,12,10,0,0,0,0,0,0,0
2016,12,13,10,0,0,0,0,0,0,0
2016,12,14,10,0,0,0,0,0,0,0
2016,12,15,10,0,0,0,0,0,0,0
2016,12,16,10,0,0,0,0,0,0,0
2016,12,17,10,0,0,0,0,0,0,0
2016,12,18,10,0,0,0,0,0,0,0
2016,12,19,10,0,0,0,0,0,0,0
2016,12,20,10,0,0,0,0,0,0,0
2016,12,21,10,0,0,0,0,0,0,0
2016,12,22,10,0,0,0,0,0,0,0
2016,12,23,10,0,0,0,0,0,0,0
2016,12,24,10,0,0,0,0,0,0,0
2016,12,25,10,0,0,0,0,0,0,0
2016,12,26,10,0,0,0,0,0,0,0
2016,12,27,10,0,0,0,0,0,0,0
2016,12,28,10,0,0,0,0,0,0,0
2016,12,29,10,0,0,0,0,0,0,0
2016,12,30,10,0,0,0,0,0,0,0
2016,12,31,10,0,0,0,0,0,0,0
