year,month,day,Barkley,Center_Hill,Cheatham,Cordell_Hull,Dale_Hollow,J_Percy_Priest,Old_Hickory,Wolf_Creek
2016,4,19,1438,192,276,390,39,0,665,836
2016,4,20,1476,155,331,419,15,150,618,582
2016,4,21,1625,136,257,273,35,50,669,679
2016,4,22,1582,177,337,214,41,109,595,718
2016,4,23,1524,174,268,339,88,162,725,523
2016,4,24,1443,201,299,205,36,90,585,1028
2016,4,25,1634,185,309,424,51,27,603,966
2016,4,26,1582,141,293,421,49,50,490,1037
2016,4,27,1638,216,301,273,68,61,697,972
2016,4,28,1581,217,318,337,56,139,637,797
2016,4,29,1466,147,252,383,33,47,712,448
2016,4,30,1616,175,325,350,23,112,597,455
2016,5,1,1451,143,259,353,19,98,633,700
2016,5,2,1582,223,330,422,27,103,609,1034
2016,5,3,1487,154,335,413,60,27,620,949
2016,5,4,1577,221,323,304,79,23,646,636
2016,5,5,1574,204,281,318,31,14,706,931
2016,5,6,1450,162,332,203,84,38,648,712
2016,5,7,1595,186,302,310,74,169,510,568
2016,5,8,1596,153,309,391,57,174,663,427
2016,5,9,1543,184,331,383,86,31,615,973
2016,5,10,1656,161,333,230,62,130,725,655
2016,5,11,1456,140,338,255,69,13,670,722
2016,5,12,1488,144,272,273,82,97,645,479
2016,5,13,1538,208,342,425,34,107,666,589
2016,5,14,1520,190,314,213,52,160,576,526
2016,5,15,1456,139,300,380,83,76,719,729
2016,5,16,1606,145,275,292,68,7,607,432
2016,5,17,1462,149,291,305,19,4,559,989
2016,5,18,1669,161,271,312,74,154,463,1033
2016,5,19,1454,149,351,359,21,45,522,810
2016,5,20,1603,192,294,277,54,73,604,990
2016,5,21,1656,170,256,428,62,67,689,495
2016,5,22,1641,167,252,201,53,69,608,437
2016,5,23,1633,210,268,364,46,179,609,498
2016,5,24,1524,173,327,380,54,148,652,845
2016,5,25,1571,176,299,296,46,127,704,867
2016,5,26,1637,221,281,235,37,130,513,889
2016,5,27,1616,183,269,219,67,61,674,614
2016,5,28,1516,204,273,379,39,34,602,415
2016,5,29,1439,205,274,354,47,2,624,534
2016,5,30,1649,140,255,415,19,54,527,752
2016,5,31,1673,215,336,249,80,36,629,901
2016,6,1,1464,177,353,347,67,40,464,819
2016,6,2,1647,150,289,282,26,101,569,508
2016,6,3,1611,158,278,275,73,163,532,806
2016,6,4,1680,196,266,287,58,73,718,623
2016,6,5,1453,173,255,327,41,119,500,633
2016,6,6,1543,164,360,239,65,167,470,701
2016,6,7,1450,191,329,284,20,0,592,588
2016,6,8,1623,218,340,308,27,44,543,895
2016,6,9,1475,136,259,202,83,59,682,826
2016,6,10,1677,172,306,293,64,37,485,409
2016,6,11,1643,187,271,315,18,117,486,905
2016,6,12,1642,212,267,239,72,73,536,655
2016,6,13,1544,146,282,256,15,92,725,830
2016,6,14,1639,155,356,225,80,6,655,722
2016,6,15,1544,160,293,318,30,129,497,603
2016,6,16,1637,204,360,310,32,48,534,1012
2016,6,17,1552,196,348,365,73,92,469,918
2016,6,18,1556,210,318,395,57,176,518,434
2016,6,19,1672,188,277,424,40,110,716,993
2016,6,20,1625,174,310,347,83,107,653,1020
2016,6,21,1494,225,305,294,34,119,597,738
2016,6,22,1462,172,321,333,47,68,696,684
2016,6,23,1544,215,355,376,34,72,455,837
2016,6,24,1672,190,287,215,67,57,558,864
2016,6,25,1516,217,331,234,22,147,491,948
2016,6,26,1664,163,279,351,24,117,507,806
2016,6,27,1670,183,295,391,61,173,683,786
2016,6,28,1494,164,256,418,46,20,584,464
2016,6,29,1486,216,309,415,50,74,608,1006
2016,6,30,1602,179,298,367,61,179,451,841
2016,7,1,1488,159,314,330,72,87,623,755
2016,7,2,1634,200,266,418,47,130,608,486
2016,7,3,1527,187,281,322,58,119,487,880
2016,7,4,1517,207,343,323,18,152,506,798
2016,7,5,1644,217,322,250,87,130,667,560
2016,7,6,1565,179,356,376,50,87,497,859
2016,7,7,1553,166,338,209,31,32,502,966
2016,7,8,1643,164,317,335,47,40,622,476
2016,7,9,1568,141,316,284,25,92,707,595
2016,7,10,1621,212,292,347,41,55,619,1017
2016,7,11,1531,166,337,231,64,63,602,845
2016,7,12,1533,192,334,289,45,57,596,952
2016,7,13,1497,218,277,212,27,131,618,445
2016,7,14,1441,167,359,332,23,39,588,425
2016,7,15,1658,141,252,271,32,33,686,620
2016,7,16,1656,203,323,403,68,66,567,780
2016,7,17,1589,182,293,321,82,70,672,983
2016,7,18,1622,211,310,288,27,139,669,515
2016,7,19,1540,197,324,290,84,125,547,711
2016,7,20,1565,200,325,371,70,29,681,1032
2016,7,21,1669,189,321,290,88,56,703,510
2016,7,22,1501,163,354,319,55,180,487,612
2016,7,23,1552,172,357,332,39,153,701,998
2016,7,24,1673,180,344,220,56,86,618,475
2016,7,25,1525,141,289,324,60,165,524,755
2016,7,26,1578,191,297,248,40,18,555,585
2016,7,27,1481,223,275,320,50,29,544,897
2016,7,28,1482,165,301,416,73,157,674,614
2016,7,29,1498,177,301,325,86,158,613,675
2016,7,30,1576,155,289,329,90,97,552,983
2016,7,31,1683,168,260,236,50,176,628,823
2016,8,1,1471,203,302,408,62,137,563,809
2016,8,2,1504,162,356,398,84,30,571,962
2016,8,3,1522,199,353,384,32,103,481,629
2016,8,4,1663,222,323,278,83,105,672,867
2016,8,5,1554,140,326,198,56,33,625,468
2016,8,6,1557,209,352,199,81,173,564,594
2016,8,7,1586,209,335,226,25,90,559,917
2016,8,8,1565,176,306,287,33,81,713,473
2016,8,9,1518,145,287,224,26,158,640,616
2016,8,10,1542,151,356,242,38,70,589,535
2016,8,11,1664,206,308,314,61,157,452,880
2016,8,12,1578,184,272,322,59,175,591,596
2016,8,13,1480,141,275,353,40,122,598,1034
2016,8,14,1603,211,336,320,36,42,664,899
2016,8,15,1578,153,272,331,19,14,537,830
2016,8,16,1564,166,352,367,24,58,523,922
2016,8,17,1587,142,258,222,20,89,654,489
2016,8,18,1656,144,318,317,72,8,541,578
2016,8,19,1658,211,307,414,45,115,563,914
2016,8,20,1552,219,347,376,53,144,583,440
2016,8,21,1489,166,306,277,78,162,665,636
2016,8,22,1586,176,357,317,47,115,480,624
2016,8,23,1611,179,297,397,56,37,524,784
2016,8,24,1657,199,271,211,69,139,711,787
2016,8,25,1549,161,345,317,34,118,490,636
2016,8,26,1532,205,282,218,58,129,668,752
2016,8,27,1596,184,258,352,40,124,584,585
2016,8,28,1536,213,315,234,28,145,626,697
2016,8,29,1533,208,337,205,57,114,585,708
2016,8,30,1446,214,297,236,26,104,450,503
2016,8,31,1552,209,273,428,18,112,721,755
2016,9,1,1553,224,257,347,44,129,636,626
2016,9,2,1521,224,301,204,56,122,485,429
2016,9,3,1662,164,308,284,44,16,568,897
2016,9,4,1538,168,261,391,61,92,609,842
2016,9,5,1526,170,257,339,43,165,716,724
2016,9,6,1438,186,321,293,31,145,627,764
2016,9,7,1643,184,286,245,49,47,637,902
2016,9,8,1523,225,298,308,39,108,642,669
2016,9,9,1669,224,313,423,71,61,693,608
2016,9,10,1637,142,349,279,50,95,623,830
2016,9,11,1588,214,277,305,60,41,454,516
2016,9,12,1529,189,331,213,48,70,590,637
2016,9,13,1566,160,349,246,20,61,640,837
2016,9,14,1681,187,268,337,15,7,709,783
2016,9,15,1568,183,350,229,89,28,646,565
2016,9,16,1606,166,313,256,17,139,493,502
2016,9,17,1645,212,357,305,58,96,454,682
2016,9,18,1620,203,301,328,77,128,698,937
2016,9,19,1457,140,354,408,38,19,603,639
2016,9,20,1540,204,340,258,66,154,688,826
2016,9,21,1596,186,349,213,50,27,549,917
2016,9,22,1587,204,331,264,90,103,719,708
2016,9,23,1622,148,336,393,47,168,481,796
2016,9,24,1646,208,263,249,86,34,550,497
2016,9,25,1614,205,292,229,79,78,683,726
2016,9,26,1479,159,270,267,72,86,472,617
2016,9,27,1533,181,342,340,37,42,589,781
2016,9,28,1638,169,293,241,44,81,725,527
2016,9,29,1630,169,310,232,45,120,592,984
2016,9,30,1554,150,284,225,83,109,510,486
2016,10,1,1617,207,358,355,25,39,650,923
2016,10,2,1499,189,344,299,54,2,579,984
2016,10,3,1459,154,271,285,54,14,588,774
2016,10,4,1491,170,325,272,85,142,469,853
2016,10,5,1493,204,272,318,33,69,497,857
2016,10,6,1469,201,339,419,51,68,492,695
2016,10,7,1486,199,327,361,52,166,582,792
2016,10,8,1592,225,284,303,56,87,614,838
2016,10,9,1610,171,305,202,45,92,619,843
2016,10,10,1558,192,313,308,71,148,563,964
2016,10,11,1610,210,265,283,76,89,463,846
2016,10,12,1640,223,262,418,55,111,598,573
2016,10,13,1629,164,328,395,64,95,665,950
2016,10,14,1532,160,285,275,37,168,693,668
2016,10,15,1520,223,260,428,32,68,453,809
2016,10,16,1445,159,294,237,36,168,458,970
2016,10,17,1519,142,360,236,18,43,490,578
2016,10,18,1682,193,286,222,63,28,536,633
2016,10,19,1561,161,252,286,21,19,646,561
2016,10,20,1667,170,353,341,48,20,536,571
2016,10,21,1583,182,328,220,35,112,492,999
2016,10,22,1480,153,330,244,68,159,464,916
2016,10,23,1475,191,262,295,77,102,623,722
2016,10,24,1566,224,329,228,85,53,651,956
2016,10,25,1630,193,314,365,30,69,700,530
2016,10,26,1571,184,332,412,16,40,508,776
2016,10,27,1649,218,334,307,48,13,583,819
2016,10,28,1450,144,337,200,39,167,662,999
2016,10,29,1573,206,352,389,84,68,695,633
2016,10,30,1567,147,290,258,82,60,471,946
2016,10,31,1467,168,275,314,90,163,562,749
2016,11,1,1462,153,360,292,75,85,681,692
2016,11,2,1600,150,299,389,58,144,502,956
2016,11,3,1509,224,273,356,24,54,477,858
2016,11,4,1650,153,354,256,76,146,686,483
2016,11,5,1658,140,284,231,76,25,687,559
2016,11,6,1491,218,338,302,59,95,580,876
2016,11,7,1672,210,301,399,78,81,610,1026
2016,11,8,1450,167,330,366,15,156,466,951
2016,11,9,1609,193,351,239,62,37,486,978
2016,11,10,1616,163,351,342,67,95,509,843
2016,11,11,1550,198,329,334,23,26,580,421
2016,11,12,1674,182,341,275,89,25,699,660
2016,11,13,1633,182,259,208,27,72,547,901
2016,11,14,1526,219,267,366,17,52,714,1019
2016,11,15,1489,200,335,330,48,137,600,591
2016,11,16,1613,136,310,242,78,65,469,489
2016,11,17,1656,163,357,209,51,50,669,533
2016,11,18,1640,167,354,365,51,5,529,676
2016,11,19,1542,159,350,228,79,80,709,755
2016,11,20,1654,162,359,288,70,151,466,747
2016,11,21,1618,168,308,237,88,170,668,545
2016,11,22,1486,137,357,239,31,42,545,548
2016,11,23,1461,206,257,248,34,107,706,732
2016,11,24,1500,166,293,261,31,127,525,751
2016,11,25,1471,178,357,200,38,74,506,429
2016,11,26,1558,210,345,205,26,164,677,767
2016,11,27,1600,166,351,422,64,120,479,585
2016,11,28,1503,192,326,335,78,166,670,837
2016,11,29,1509,155,304,217,83,75,600,900
2016,11,30,1642,144,360,429,28,132,689,514
2016,12,1,1665,219,316,349,61,14,650,946
2016,12,2,1631,150,340,207,81,85,668,555
2016,12,3,1488,148,254,235,61,20,635,685
2016,12,4,1614,191,287,331,49,48,647,718
2016,12,5,1475,143,293,416,46,147,696,994
2016,12,6,1601,225,308,256,52,42,510,526
2016,12,7,1667,220,343,311,24,13,724,899
2016,12,8,1516,165,293,379,58,92,481,904
2016,12,9,1442,142,311,320,20,25,510,443
2016,12,10,1592,149,267,251,41,114,689,602
2016,12,11,1439,200,344,294,74,32,556,768
2016,12,12,1451,152,318,244,48,5,505,537
2016,12,13,1593,176,330,402,69,132,687,429
2016,12,14,1560,142,252,211,30,160,500,742
2016,12,15,1645,187,273,410,66,2,590,975
2016,12,16,1622,178,295,411,88,107,575,801
2016,12,17,1577,173,255,294,42,142,489,647
2016,12,18,1480,152,285,387,25,70,618,783
2016,12,19,1680,135,347,360,77,32,558,914
2016,12,20,1673,155,258,333,65,43,504,902
2016,12,21,1564,201,319,257,71,122,559,856
2016,12,22,1605,176,283,199,28,19,572,927
2016,12,23,1685,137,342,310,28,171,459,603
2016,12,24,1684,157,308,407,52,138,725,937
2016,12,25,1480,214,306,354,58,98,503,922
2016,12,26,1640,149,259,329,40,108,464,659
2016,12,27,1442,184,346,353,63,114,690,531
2016,12,28,1446,188,255,393,88,180,549,629
2016,12,29,1669,167,360,384,22,77,497,792
2016,12,30,1554,166,359,364,56,25,585,665
2016,12,31,1513,178,269,303,59,134,699,840
