name,node,unit_type,fuel_type,max_capacity,min_capacity,heat_rate,operation_cost,fuel_cost,fixed_cost,startup_cost,ramp_rate,min_uptime,min_downtime
KaengKhoiFactory,KaengKhoiFactory,coal_st,coal,17.2,3,10.05,4.6,5,2.7,90,17.2,10,10
Gulfjpns,Gulfjpns,gas_cc,gas,800,160,7.65,2,5.85,1.2,70,800,4,4
Gulfjput,Gulfjput,gas_cc,gas,800,160,7.65,2,5.85,1.2,70,800,4,4
Kaengkhoi2U1,Kaengkhoi2U1,gas_gt,gas,734,147,11.21,2,5.85,1.7,70,734,1,1
Kaengkhoi2U2,Kaengkhoi2U2,gas_gt,gas,734,147,11.21,2,5.85,1.7,70,734,1,1
VajiralongkornIc,VajiralongkornIc,oil_ic,oil,5,1,10.33,3.17,8,1.5,50,5,1,1
WangSalaMill1,WangSalaMill1,coal_st,coal,60.2,5,10.05,4.6,5,2.7,90,26.2,10,10
WangSalaMill2,WangSalaMill2,coal_st,coal,34,7,10.05,4.6,5,2.7,90,34,10,10
Khanomcc,Khanomcc,gas_cc,gas,678,136,7.65,2,5.85,1.2,70,678,4,4
Khanom,Khanom,gas_gt,gas,70.2,14,11.21,2,5.85,1.7,70,70.2,1,1
Krabi,Krabi,gas_st,gas,340,68,11.21,2,5.85,1.2,70,340,6,6
LampangCementPlant1,LampangCementPlant1,waste_heat_st,waste_heat,8.5,2,14.1,26,3.02,1.2,50,8.46,6,6
Lankrabue,Lankrabue,oil_gt,oil,14,3,13.54,3.17,8,1.5,50,14,1,1
Maehongson,Maehongson,oil_st,oil,6,1,10.19,3.17,8,1.5,50,6,1,1
ChiangMaiWte1,ChiangMaiWte1,gas_ic,gas,25,5,9.18,3.17,5.85,1.5,70,25,1,1
Chiangmaifangu1,Chiangmaifangu1,oil_ic,oil,12,1,10.33,3.17,8,1.5,50,6,1,1
Nakhonpathom,Nakhonpathom,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
AmpharSampran1,AmpharSampran1,coal_st,coal,14.9,3,10.05,4.6,5,2.7,90,14.9,10,10
KampaengsaenWestIc1,KampaengsaenWestIc1,gas_ic,gas,64,2,9.18,3.17,5.85,1.5,70,8,1,1
AmpharSampranIc1,AmpharSampranIc1,oil_ic,oil,11,1,10.33,3.17,8,1.5,50,5.5,1,1
KoratGt1,KoratGt1,oil_gt,oil,28,3,13.54,3.17,8,1.5,50,14,1,1
CrbChangRaek1,CrbChangRaek1,biomass_st,biomass,19,2,14.1,26,3.02,1,1,9.5,2,2
ThungSongCement1,ThungSongCement1,waste_heat_st,waste_heat,20.5,4,14.1,26,3.02,1.2,50,20.5,6,6
Maptaphutu1,Maptaphutu1,gas_gt,gas,673.25,135,11.21,2,5.85,1.7,70,673.25,1,1
Maptaphutu2,Maptaphutu2,gas_gt,gas,673.25,135,11.21,2,5.85,1.7,70,673.25,1,1
NongChokGt3,NongChokGt3,gas_gt,gas,244,24,11.21,2,5.85,1.7,70,122,1,1
Northbangkok,Northbangkok,gas_cc,gas,700,140,7.65,2,5.85,1.2,70,700,4,4
PhetchaburiPalmOil1,PhetchaburiPalmOil1,gas_ic,gas,15,3,9.18,3.17,5.85,1.5,70,15,1,1
PhuketNew1,PhuketNew1,gas_ic,gas,14,1,9.18,3.17,5.85,1.5,70,7,1,1
PrachinBuriMillGt5,PrachinBuriMillGt5,gas_gt,gas,76.5,8,11.21,2,5.85,1.7,70,38.34,1,1
PrachinBuriMill4,PrachinBuriMill4,gas_ic,gas,37.15,7,9.18,3.17,5.85,1.5,70,37.15,1,1
PrachuapSugarMill1,PrachuapSugarMill1,biomass_st,biomass,19.4,2,14.1,26,3.02,1,1,10,2,2
Pttolefinsu1,Pttolefinsu1,oil_gt,oil,78.9,5,13.54,3.17,8,1.5,50,26.3,1,1
RangsitFactoryIc3,RangsitFactoryIc3,oil_ic,oil,15,1,10.33,3.17,8,1.5,50,5,1,1
PathumThaniCrnSc1,PathumThaniCrnSc1,waste_heat_st,waste_heat,134.5,6,14.1,26,3.02,1.2,50,30,6,6
RajburiSugarMill1,RajburiSugarMill1,biomass_st,biomass,16,2,14.1,26,3.02,1,1,10,2,2
BanPongSki1,BanPongSki1,coal_st,coal,30,3,10.05,4.6,5,2.7,90,14.5,10,10
Ratchaburipoweru1,Ratchaburipoweru1,gas_cc,gas,700,140,7.65,2,5.85,1.2,70,700,4,4
Ratchaburipoweru2,Ratchaburipoweru2,gas_cc,gas,700,140,7.65,2,5.85,1.2,70,700,4,4
Ratchaburiccu1,Ratchaburiccu1,gas_cc,gas,725,145,7.65,2,5.85,1.2,70,725,4,4
Ratchaburiccu2,Ratchaburiccu2,gas_cc,gas,725,145,7.65,2,5.85,1.2,70,725,4,4
Ratchaburiu3,Ratchaburiu3,gas_gt,gas,725,145,11.21,2,5.85,1.7,70,725,1,1
Ratchaburiu1,Ratchaburiu1,gas_st,gas,735,147,11.21,2,5.85,1.2,70,735,6,6
Ratchaburiu2,Ratchaburiu2,gas_st,gas,735,147,11.21,2,5.85,1.2,70,735,6,6
RatchaburiPower1Sc1,RatchaburiPower1Sc1,waste_heat_st,waste_heat,320,32,14.1,26,3.02,1.2,50,160,6,6
Ratcharburitrienergy,Ratcharburitrienergy,gas_gt,gas,700,140,11.21,2,5.85,1.7,70,700,1,1
PatumRiceMill1,PatumRiceMill1,biomass_st,biomass,9.24,2,14.1,26,3.02,1,1,9.24,2,2
GlowSppPhase4No1,GlowSppPhase4No1,coal_st,coal,304,30,10.05,4.6,5,2.7,90,152,10,10
Ghecoone,Ghecoone,coal_st,coal,660,132,10.05,4.6,5,2.7,90,660,10,10
Rayongu2,Rayongu2,gas_cc,gas,587.5,58,7.65,2,5.85,1.2,70,287.67,4,4
Rayongu3,Rayongu3,gas_cc,gas,587.5,58,7.65,2,5.85,1.2,70,287.67,4,4
MuangCogen1No1,MuangCogen1No1,coal_st,coal,108,5,10.05,4.6,5,2.7,90,27,10,10
GlowSppPhase4No3,GlowSppPhase4No3,coal_st,coal,182,20,10.05,4.6,5,2.7,90,85,10,10
Blcp1,Blcp1,coal_st,coal,717,143,10.05,4.6,5,2.7,90,717,10,10
Blcp2,Blcp2,coal_st,coal,717,143,10.05,4.6,5,2.7,90,717,10,10
RayongSipcoSc1,RayongSipcoSc1,waste_heat_st,waste_heat,387.5,10,14.1,26,3.02,1.2,50,63,6,6
EasternSugar3,EasternSugar3,biomass_st,biomass,15,3,14.1,26,3.02,1,1,15,2,2
MgpMahachaiGreen1,MgpMahachaiGreen1,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
NongSaeng1Gt1,NongSaeng1Gt1,gas_gt,gas,500,50,11.21,2,5.85,1.7,70,250,1,1
TpiPower1,TpiPower1,gas_ic,gas,69.5,12,9.18,3.17,5.85,1.5,70,60,1,1
NongSaeng1Gt2,NongSaeng1Gt2,gas_gt,gas,500,50,11.21,2,5.85,1.7,70,250,1,1
GreEnergy1,GreEnergy1,biomass_st,biomass,19.5,2,14.1,26,3.02,1,1,9.6,2,2
Chanau1,Chanau1,gas_cc,gas,710,142,7.65,2,5.85,1.2,70,710,4,4
Chanau2,Chanau2,gas_cc,gas,800,160,7.65,2,5.85,1.2,70,800,4,4
HatYaiGidec1,HatYaiGidec1,gas_ic,gas,6.7,1,9.18,3.17,5.85,1.5,70,6.7,1,1
Chana1Sc1,Chana1Sc1,waste_heat_st,waste_heat,248,50,14.1,26,3.02,1.2,50,248,6,6
MitrKasetrSugar1,MitrKasetrSugar1,biomass_st,biomass,26.5,3,14.1,26,3.02,1,1,12.5,2,2
Southbangkoku1,Southbangkoku1,gas_cc,gas,335,67,7.65,2,5.85,1.2,70,335,4,4
Southbangkoku2,Southbangkoku2,gas_cc,gas,623,125,7.65,2,5.85,1.2,70,623,4,4
Southbangkoku3,Southbangkoku3,gas_st,gas,700,140,11.21,2,5.85,1.2,70,700,6,6
SouthBangkok1,SouthBangkok1,oil_st,oil,400,40,10.19,3.17,8,1.5,50,200,1,1
SouthBangkokCc3Sc1,SouthBangkokCc3Sc1,waste_heat_st,waste_heat,496,32,14.1,26,3.02,1.2,50,160,6,6
Sriracharefineryu1,Sriracharefineryu1,oil_ic,oil,12,1,10.33,3.17,8,1.5,50,6,1,1
SrirachaRefineryTocS4,SrirachaRefineryTocS4,oil_st,oil,26,3,10.19,3.17,8,1.5,50,16,1,1
MitrBiopowerDanChang2,MitrBiopowerDanChang2,biomass_st,biomass,96.9,5,14.1,26,3.02,1,1,40,2,2
AmphurBiomass1,AmphurBiomass1,biomass_st,biomass,10,2,14.1,26,3.02,1,1,9.95,2,2
UdonThaniGt2,UdonThaniGt2,oil_gt,oil,14,3,13.54,3.17,8,1.5,50,14,1,1
Wangnoiu1,Wangnoiu1,gas_cc,gas,651,130,7.65,2,5.85,1.2,70,651,4,4
Wangnoiu2,Wangnoiu2,gas_cc,gas,651,130,7.65,2,5.85,1.2,70,651,4,4
Wangnoiu3,Wangnoiu3,gas_cc,gas,729,146,7.65,2,5.85,1.2,70,729,4,4
Wangnoiu4,Wangnoiu4,gas_cc,gas,800,160,7.65,2,5.85,1.2,70,800,4,4
NorthBangkok2Sc1,NorthBangkok2Sc1,waste_heat_st,waste_heat,262,52,14.1,26,3.02,1.2,50,262,6,6
304Ipnppa9U1,304Ipnppa9U1,biomass_st,biomass,100,20,14.1,26,3.02,1,1,100,2,2
304Ipnppa9U2,304Ipnppa9U2,biomass_st,biomass,150,30,14.1,26,3.02,1,1,150,2,2
Hongsaligniteu1,Hongsaligniteu1,coal_imp,coal,626,125,10.05,4.6,5.25,2.7,90,626,10,10
Hongsaligniteu2,Hongsaligniteu2,coal_imp,coal,626,125,10.05,4.6,5.25,2.7,90,626,10,10
Hongsaligniteu3,Hongsaligniteu3,coal_imp,coal,626,125,10.05,4.6,5.25,2.7,90,626,10,10
KhonKaenSugarPower1,KhonKaenSugarPower1,biomass_st,biomass,142,3,14.1,26,3.02,1,1,5,2,2
NamPhong1Sc1,NamPhong1Sc1,waste_heat_st,waste_heat,226,23,14.1,26,3.02,1.2,50,113,6,6
Maemohu4,Maemohu4,coal_st,coal,150,30,10.05,4.6,5,2.7,90,150,10,10
Maemohu5,Maemohu5,coal_st,coal,150,30,10.05,4.6,5,2.7,90,150,10,10
Maemohu6,Maemohu6,coal_st,coal,150,30,10.05,4.6,5,2.7,90,150,10,10
Maemohu7,Maemohu7,coal_st,coal,150,30,10.05,4.6,5,2.7,90,150,10,10
Maemohu10,Maemohu10,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
Maemohu11,Maemohu11,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
Maemohu12,Maemohu12,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
Maemohu13,Maemohu13,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
Maemohu8,Maemohu8,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
Maemohu9,Maemohu9,coal_st,coal,300,60,10.05,4.6,5,2.7,90,300,10,10
BuaYai1,BuaYai1,biomass_st,biomass,151.2,2,14.1,26,3.02,1,1,10,2,2
Namphong2U1,Namphong2U1,gas_cc,gas,710,71,7.65,2,5.85,1.2,70,355,4,4
PrachinBuriMill2,PrachinBuriMill2,biomass_st,biomass,74.5,7,14.1,26,3.02,1,1,37.15,2,2
PrachinBuriIpc1,PrachinBuriIpc1,coal_st,coal,37,2,10.05,4.6,5,2.7,90,9.5,10,10
ThaTum1,ThaTum1,coal_st,coal,328,33,10.05,4.6,5,2.7,90,164,10,10
NongSaeng2Sc0,NongSaeng2Sc0,waste_heat_st,waste_heat,651,30,14.1,26,3.02,1.2,50,100,6,6
NongSaeng2Sc1,NongSaeng2Sc1,waste_heat_st,waste_heat,651,30,14.1,26,3.02,1.2,50,100,6,6
Uwckomen,Uwckomen,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
Baanrai,Baanrai,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
Bangmunnak,Bangmunnak,biomass_st,biomass,22,4,14.1,26,3.02,1,1,22,2,2
Mitrbiopower,Mitrbiopower,biomass_st,biomass,41,8,14.1,26,3.02,1,1,41,2,2
Panomsarakhammill,Panomsarakhammill,biomass_st,biomass,57.8,9,14.1,26,3.02,1,1,47.4,2,2
KrungThaiMill1,KrungThaiMill1,biomass_st,biomass,22,2,14.1,26,3.02,1,1,10,2,2
BuriramSugar2,BuriramSugar2,biomass_st,biomass,48.7,2,14.1,26,3.02,1,1,9.9,2,2
Ponthong1,Ponthong1,biomass_st,biomass,19.8,2,14.1,26,3.02,1,1,9.9,2,2
KalasinMill1,KalasinMill1,biomass_st,biomass,41,8,14.1,26,3.02,1,1,41,2,2
RoiEtMill1,RoiEtMill1,biomass_st,biomass,35.5,2,14.1,26,3.02,1,1,9.9,2,2
MukdahanSaharuang2,MukdahanSaharuang2,biomass_st,biomass,12,2,14.1,26,3.02,1,1,12,2,2
MitrBiopowerChaiyaphum2,MitrBiopowerChaiyaphum2,biomass_st,biomass,48,5,14.1,26,3.02,1,1,24,2,2
MitrBiopowerChaiyaphum3,MitrBiopowerChaiyaphum3,biomass_st,biomass,40,8,14.1,26,3.02,1,1,40,2,2
Lamphun1,Lamphun1,biomass_st,biomass,9.6,2,14.1,26,3.02,1,1,9.6,2,2
MweMaewongEnergy1,MweMaewongEnergy1,biomass_st,biomass,28,2,14.1,26,3.02,1,1,14,2,2
ThaLuangSugarFactory4,ThaLuangSugarFactory4,biomass_st,biomass,17,2,14.1,26,3.02,1,1,12,2,2
MungcharoenBiomass1,MungcharoenBiomass1,biomass_st,biomass,46.8,3,14.1,26,3.02,1,1,17,2,2
KumphawapiSugarMill2,KumphawapiSugarMill2,biomass_st,biomass,52,4,14.1,26,3.02,1,1,20,2,2
SriChiangMai1,SriChiangMai1,biomass_st,biomass,9.9,2,14.1,26,3.02,1,1,9.9,2,2
Sumrong1,Sumrong1,biomass_st,biomass,16,2,14.1,26,3.02,1,1,8,2,2
YalaGreen1,YalaGreen1,biomass_st,biomass,23,5,14.1,26,3.02,1,1,23,2,2
KamphaengphetMill2,KamphaengphetMill2,biomass_st,biomass,46.4,2,14.1,26,3.02,1,1,12,2,2
