Node1,Node2
217.2,31.6
199.85,29
189.45,27.5
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
194.6,28.3
189.3,27.5
181.95,26.45
177.9,25.85
177.05,25.75
181.75,26.4
217.8,31.65
259.8,37.75
281.15,40.85
281.5,40.95
268.35,39
257.6,37.45
280.25,40.7
290.65,42.25
278.7,40.5
264.65,38.45
240.55,34.95
231.6,33.65
246.25,35.8
247.1,35.9
252.45,36.7
235.75,34.25
216.85,31.55
205.55,29.85
194.6,28.3
189.3,27.5
181.95,26.45
177.9,25.85
177.05,25.75
181.75,26.4
217.8,31.65
259.8,37.75
281.15,40.85
281.5,40.95
268.35,39
257.6,37.45
280.25,40.7
290.65,42.25
278.7,40.5
264.65,38.45
240.55,34.95
231.6,33.65
246.25,35.8
247.1,35.9
252.45,36.7
235.75,34.25
216.85,31.55
205.55,29.85
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
194.6,28.3
189.3,27.5
181.95,26.45
177.9,25.85
177.05,25.75
181.75,26.4
217.8,31.65
259.8,37.75
281.15,40.85
281.5,40.95
268.35,39
257.6,37.45
280.25,40.7
290.65,42.25
278.7,40.5
264.65,38.45
240.55,34.95
231.6,33.65
246.25,35.8
247.1,35.9
252.45,36.7
235.75,34.25
216.85,31.55
205.55,29.85
194.6,28.3
189.3,27.5
181.95,26.45
177.9,25.85
177.05,25.75
181.75,26.4
217.8,31.65
259.8,37.75
281.15,40.85
281.5,40.95
268.35,39
257.6,37.45
280.25,40.7
290.65,42.25
278.7,40.5
264.65,38.45
240.55,34.95
231.6,33.65
246.25,35.8
247.1,35.9
252.45,36.7
235.75,34.25
216.85,31.55
205.55,29.85
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
197.7,28.7
196.75,28.6
201.95,29.35
242,35.2
288.65,41.95
312.35,45.4
312.8,45.45
298.15,43.35
286.2,41.6
311.45,45.25
322.95,46.95
309.65,45
294.05,42.75
267.25,38.85
257.35,37.4
273.6,39.8
274.6,39.9
280.5,40.75
261.9,38.05
240.9,35.05
228.4,33.2
216.25,31.45
210.3,30.6
202.25,29.4
