year,month,day,hour,Supplier
2016,1,9,21,29.51
2016,1,9,22,29.51
2016,1,9,23,29.51
2016,1,9,24,29.51
2016,1,10,1,23.99
2016,1,10,2,23.99
2016,1,10,3,23.99
2016,1,10,4,23.99
2016,1,10,5,23.99
2016,1,10,6,23.99
2016,1,10,7,23.99
2016,1,10,8,23.99
2016,1,10,9,23.99
2016,1,10,10,23.99
2016,1,10,11,23.99
2016,1,10,12,23.99
2016,1,10,13,23.99
2016,1,10,14,23.99
2016,1,10,15,23.99
2016,1,10,16,23.99
2016,1,10,17,23.99
2016,1,10,18,23.99
2016,1,10,19,23.99
2016,1,10,20,23.99
2016,1,10,21,23.99
2016,1,10,22,23.99
2016,1,10,23,23.99
2016,1,10,24,23.99
2016,1,11,1,11
2016,1,11,2,11
2016,1,11,3,11
2016,1,11,4,11
2016,1,11,5,11
2016,1,11,6,11
2016,1,11,7,11
2016,1,11,8,11
2016,1,11,9,11
2016,1,11,10,11
2016,1,11,11,11
2016,1,11,12,11
2016,1,11,13,11
2016,1,11,14,11
2016,1,11,15,11
2016,1,11,16,11
2016,1,11,17,11
2016,1,11,18,11
2016,1,11,19,11
2016,1,11,20,11
2016,1,11,21,11
2016,1,11,22,11
2016,1,11,23,11
2016,1,11,24,11
2016,1,12,1,9.87
2016,1,12,2,9.87
2016,1,12,3,9.87
2016,1,12,4,9.87
2016,1,12,5,9.87
2016,1,12,6,9.87
2016,1,12,7,9.87
2016,1,12,8,9.87
2016,1,12,9,9.87
2016,1,12,10,9.87
2016,1,12,11,9.87
2016,1,12,12,9.87
2016,1,12,13,9.87
2016,1,12,14,9.87
2016,1,12,15,9.87
2016,1,12,16,9.87
2016,1,12,17,9.87
2016,1,12,18,9.87
2016,1,12,19,9.87
2016,1,12,20,9.87
2016,1,12,21,9.87
2016,1,12,22,9.87
2016,1,12,23,9.87
2016,1,12,24,9.87
2016,1,13,1,9.65
2016,1,13,2,9.65
2016,1,13,3,9.65
2016,1,13,4,9.65
2016,1,13,5,9.65
2016,1,13,6,9.65
2016,1,13,7,9.65
2016,1,13,8,9.65
2016,1,13,9,9.65
2016,1,13,10,9.65
2016,1,13,11,9.65
2016,1,13,12,9.65
2016,1,13,13,9.65
2016,1,13,14,9.65
2016,1,13,15,9.65
2016,1,13,16,9.65
2016,1,13,17,9.65
2016,1,13,18,9.65
2016,1,13,19,9.65
2016,1,13,20,9.65
2016,1,13,21,9.65
2016,1,13,22,9.65
2016,1,13,23,9.65
2016,1,13,24,9.65
2016,1,14,1,9.31
2016,1,14,2,9.31
2016,1,14,3,9.31
2016,1,14,4,9.31
2016,1,14,5,9.31
2016,1,14,6,9.31
2016,1,14,7,9.31
2016,1,14,8,9.31
2016,1,14,9,9.31
2016,1,14,10,9.31
2016,1,14,11,9.31
2016,1,14,12,9.31
2016,1,14,13,9.31
2016,1,14,14,9.31
2016,1,14,15,9.31
2016,1,14,16,9.31
2016,1,14,17,9.31
2016,1,14,18,9.31
2016,1,14,19,9.31
2016,1,14,20,9.31
2016,1,14,21,9.31
2016,1,14,22,9.31
2016,1,14,23,9.31
2016,1,14,24,9.31
2016,1,15,1,8.87
2016,1,15,2,8.87
2016,1,15,3,8.87
2016,1,15,4,8.87
2016,1,15,5,8.87
2016,1,15,6,8.87
2016,1,15,7,8.87
2016,1,15,8,8.87
2016,1,15,9,8.87
2016,1,15,10,8.87
2016,1,15,11,8.87
2016,1,15,12,8.87
2016,1,15,13,8.87
2016,1,15,14,8.87
2016,1,15,15,8.87
2016,1,15,16,8.87
2016,1,15,17,8.87
2016,1,15,18,8.87
2016,1,15,19,8.87
2016,1,15,20,8.87
2016,1,15,21,8.87
2016,1,15,22,8.87
2016,1,15,23,8.87
2016,1,15,24,8.87
2016,1,16,1,8.39
2016,1,16,2,8.39
2016,1,16,3,8.39
2016,1,16,4,8.39
2016,1,16,5,8.39
2016,1,16,6,8.39
2016,1,16,7,8.39
2016,1,16,8,8.39
2016,1,16,9,8.39
2016,1,16,10,8.39
2016,1,16,11,8.39
2016,1,16,12,8.39
2016,1,16,13,8.39
2016,1,16,14,8.39
2016,1,16,15,8.39
2016,1,16,16,8.39
2016,1,16,17,8.39
2016,1,16,18,8.39
2016,1,16,19,8.39
2016,1,16,20,8.39
2016,1,16,21,8.39
2016,1,16,22,8.39
2016,1,16,23,8.39
2016,1,16,24,8.39
2016,1,17,1,7.89
2016,1,17,2,7.89
2016,1,17,3,7.89
2016,1,17,4,7.89
2016,1,17,5,7.89
2016,1,17,6,7.89
2016,1,17,7,7.89
2016,1,17,8,7.89
2016,1,17,9,7.89
2016,1,17,10,7.89
2016,1,17,11,7.89
2016,1,17,12,7.89
2016,1,17,13,7.89
2016,1,17,14,7.89
2016,1,17,15,7.89
2016,1,17,16,7.89
2016,1,17,17,7.89
2016,1,17,18,7.89
2016,1,17,19,7.89
2016,1,17,20,7.89
2016,1,17,21,7.89
2016,1,17,22,7.89
2016,1,17,23,7.89
2016,1,17,24,7.89
2016,1,18,1,7.44
2016,1,18,2,7.44
2016,1,18,3,7.44
2016,1,18,4,7.44
2016,1,18,5,7.44
2016,1,18,6,7.44
2016,1,18,7,7.44
2016,1,18,8,7.44
2016,1,18,9,7.44
2016,1,18,10,7.44
2016,1,18,11,7.44
2016,1,18,12,7.44
2016,1,18,13,7.44
2016,1,18,14,7.44
2016,1,18,15,7.44
2016,1,18,16,7.44
2016,1,18,17,7.44
2016,1,18,18,7.44
2016,1,18,19,7.44
2016,1,18,20,7.44
2016,1,18,21,7.44
2016,1,18,22,7.44
2016,1,18,23,7.44
2016,1,18,24,7.44
2016,1,19,1,7.2
2016,1,19,2,7.2
2016,1,19,3,7.2
2016,1,19,4,7.2
2016,1,19,5,7.2
2016,1,19,6,7.2
2016,1,19,7,7.2
2016,1,19,8,7.2
2016,1,19,9,7.2
2016,1,19,10,7.2
2016,1,19,11,7.2
2016,1,19,12,7.2
2016,1,19,13,7.2
2016,1,19,14,7.2
2016,1,19,15,7.2
2016,1,19,16,7.2
2016,1,19,17,7.2
2016,1,19,18,7.2
2016,1,19,19,7.2
2016,1,19,20,7.2
2016,1,19,21,7.2
2016,1,19,22,7.2
2016,1,19,23,7.2
2016,1,19,24,7.2
2016,1,20,1,6.68
2016,1,20,2,6.68
2016,1,20,3,6.68
2016,1,20,4,6.68
2016,1,20,5,6.68
2016,1,20,6,6.68
2016,1,20,7,6.68
2016,1,20,8,6.68
2016,1,20,9,6.68
2016,1,20,10,6.68
2016,1,20,11,6.68
2016,1,20,12,6.68
2016,1,20,13,6.68
2016,1,20,14,6.68
2016,1,20,15,6.68
2016,1,20,16,6.68
2016,1,20,17,6.68
2016,1,20,18,6.68
2016,1,20,19,6.68
2016,1,20,20,6.68
2016,1,20,21,6.68
2016,1,20,22,6.68
2016,1,20,23,6.68
2016,1,20,24,6.68
2016,1,21,1,5.94
2016,1,21,2,5.94
2016,1,21,3,5.94
2016,1,21,4,5.94
2016,1,21,5,5.94
2016,1,21,6,5.94
2016,1,21,7,5.94
2016,1,21,8,5.94
2016,1,21,9,5.94
2016,1,21,10,5.94
2016,1,21,11,5.94
2016,1,21,12,5.94
2016,1,21,13,5.94
2016,1,21,14,5.94
2016,1,21,15,5.94
2016,1,21,16,5.94
2016,1,21,17,5.94
2016,1,21,18,5.94
2016,1,21,19,5.94
2016,1,21,20,5.94
2016,1,21,21,5.94
2016,1,21,22,5.94
2016,1,21,23,5.94
2016,1,21,24,5.94
2016,1,22,1,5.45
2016,1,22,2,5.45
2016,1,22,3,5.45
2016,1,22,4,5.45
2016,1,22,5,5.45
2016,1,22,6,5.45
2016,1,22,7,5.45
2016,1,22,8,5.45
2016,1,22,9,5.45
2016,1,22,10,5.45
2016,1,22,11,5.45
2016,1,22,12,5.45
2016,1,22,13,5.45
2016,1,22,14,5.45
2016,1,22,15,5.45
2016,1,22,16,5.45
2016,1,22,17,5.45
2016,1,22,18,5.45
2016,1,22,19,5.45
2016,1,22,20,5.45
2016,1,22,21,5.45
2016,1,22,22,5.45
2016,1,22,23,5.45
2016,1,22,24,5.45
2016,1,23,1,5.26
2016,1,23,2,5.26
2016,1,23,3,5.26
2016,1,23,4,5.26
2016,1,23,5,5.26
2016,1,23,6,5.26
2016,1,23,7,5.26
2016,1,23,8,5.26
2016,1,23,9,5.26
2016,1,23,10,5.26
2016,1,23,11,5.26
2016,1,23,12,5.26
2016,1,23,13,5.26
2016,1,23,14,5.26
2016,1,23,15,5.26
2016,1,23,16,5.26
2016,1,23,17,5.26
2016,1,23,18,5.26
2016,1,23,19,5.26
2016,1,23,20,5.26
2016,1,23,21,5.26
2016,1,23,22,5.26
2016,1,23,23,5.26
2016,1,23,24,5.26
2016,1,24,1,5.03
2016,1,24,2,5.03
2016,1,24,3,5.03
2016,1,24,4,5.03
2016,1,24,5,5.03
2016,1,24,6,5.03
2016,1,24,7,5.03
2016,1,24,8,5.03
2016,1,24,9,5.03
2016,1,24,10,5.03
2016,1,24,11,5.03
2016,1,24,12,5.03
2016,1,24,13,5.03
2016,1,24,14,5.03
2016,1,24,15,5.03
2016,1,24,16,5.03
2016,1,24,17,5.03
2016,1,24,18,5.03
2016,1,24,19,5.03
2016,1,24,20,5.03
2016,1,24,21,5.03
2016,1,24,22,5.03
2016,1,24,23,5.03
2016,1,24,24,5.03
2016,1,25,1,4.4
2016,1,25,2,4.4
2016,1,25,3,4.4
2016,1,25,4,4.4
2016,1,25,5,4.4
2016,1,25,6,4.4
2016,1,25,7,4.4
2016,1,25,8,4.4
2016,1,25,9,4.4
2016,1,25,10,4.4
2016,1,25,11,4.4
2016,1,25,12,4.4
2016,1,25,13,4.4
2016,1,25,14,4.4
2016,1,25,15,4.4
2016,1,25,16,4.4
2016,1,25,17,4.4
2016,1,25,18,4.4
2016,1,25,19,4.4
2016,1,25,20,4.4
2016,1,25,21,4.4
2016,1,25,22,4.4
2016,1,25,23,4.4
2016,1,25,24,4.4
2016,1,26,1,3.84
2016,1,26,2,3.84
2016,1,26,3,3.84
2016,1,26,4,3.84
2016,1,26,5,3.84
2016,1,26,6,3.84
2016,1,26,7,3.84
2016,1,26,8,3.84
2016,1,26,9,3.84
2016,1,26,10,3.84
2016,1,26,11,3.84
2016,1,26,12,3.84
2016,1,26,13,3.84
2016,1,26,14,3.84
2016,1,26,15,3.84
2016,1,26,16,3.84
2016,1,26,17,3.84
2016,1,26,18,3.84
2016,1,26,19,3.84
2016,1,26,20,3.84
2016,1,26,21,3.84
2016,1,26,22,3.84
2016,1,26,23,3.84
2016,1,26,24,3.84
2016,1,27,1,3.5
2016,1,27,2,3.5
2016,1,27,3,3.5
2016,1,27,4,3.5
2016,1,27,5,3.5
2016,1,27,6,3.5
2016,1,27,7,3.5
2016,1,27,8,3.5
2016,1,27,9,3.5
2016,1,27,10,3.5
2016,1,27,11,3.5
2016,1,27,12,3.5
2016,1,27,13,3.5
2016,1,27,14,3.5
2016,1,27,15,3.5
2016,1,27,16,3.5
2016,1,27,17,3.5
2016,1,27,18,3.5
2016,1,27,19,3.5
2016,1,27,20,3.5
2016,1,27,21,3.5
2016,1,27,22,3.5
2016,1,27,23,3.5
2016,1,27,24,3.5
2016,1,28,1,3.17
2016,1,28,2,3.17
2016,1,28,3,3.17
2016,1,28,4,3.17
2016,1,28,5,3.17
2016,1,28,6,3.17
2016,1,28,7,3.17
2016,1,28,8,3.17
2016,1,28,9,3.17
2016,1,28,10,3.17
2016,1,28,11,3.17
2016,1,28,12,3.17
2016,1,28,13,3.17
2016,1,28,14,3.17
2016,1,28,15,3.17
2016,1,28,16,3.17
2016,1,28,17,3.17
2016,1,28,18,3.17
2016,1,28,19,3.17
2016,1,28,20,3.17
2016,1,28,21,3.17
2016,1,28,22,3.17
2016,1,28,23,3.17
2016,1,28,24,3.17
2016,1,29,1,2.86
2016,1,29,2,2.86
2016,1,29,3,2.86
2016,1,29,4,2.86
2016,1,29,5,2.86
2016,1,29,6,2.86
2016,1,29,7,2.86
2016,1,29,8,2.86
2016,1,29,9,2.86
2016,1,29,10,2.86
2016,1,29,11,2.86
2016,1,29,12,2.86
2016,1,29,13,2.86
2016,1,29,14,2.86
2016,1,29,15,2.86
2016,1,29,16,2.86
2016,1,29,17,2.86
2016,1,29,18,2.86
2016,1,29,19,2.86
2016,1,29,20,2.86
2016,1,29,21,2.86
2016,1,29,22,2.86
2016,1,29,23,2.86
2016,1,29,24,2.86
2016,1,30,1,2.58
2016,1,30,2,2.58
2016,1,30,3,2.58
2016,1,30,4,2.58
2016,1,30,5,2.58
2016,1,30,6,2.58
2016,1,30,7,2.58
2016,1,30,8,2.58
2016,1,30,9,2.58
2016,1,30,10,2.58
2016,1,30,11,2.58
2016,1,30,12,2.58
2016,1,30,13,2.58
2016,1,30,14,2.58
2016,1,30,15,2.58
2016,1,30,16,2.58
2016,1,30,17,2.58
2016,1,30,18,2.58
2016,1,30,19,2.58
2016,1,30,20,2.58
2016,1,30,21,2.58
2016,1,30,22,2.58
2016,1,30,23,2.58
2016,1,30,24,2.58
2016,1,31,1,2.36
2016,1,31,2,2.36
2016,1,31,3,2.36
2016,1,31,4,2.36
2016,1,31,5,2.36
2016,1,31,6,2.36
2016,1,31,7,2.36
2016,1,31,8,2.36
2016,1,31,9,2.36
2016,1,31,10,2.36
2016,1,31,11,2.36
2016,1,31,12,2.36
2016,1,31,13,2.36
2016,1,31,14,2.36
2016,1,31,15,2.36
2016,1,31,16,2.36
2016,1,31,17,2.36
2016,1,31,18,2.36
2016,1,31,19,2.36
2016,1,31,20,2.36
2016,1,31,21,2.36
2016,1,31,22,2.36
2016,1,31,23,2.36
2016,1,31,24,2.36
2016,2,1,1,4.86
2016,2,1,2,4.86
2016,2,1,3,4.86
2016,2,1,4,4.86
2016,2,1,5,4.86
2016,2,1,6,4.86
2016,2,1,7,4.86
2016,2,1,8,4.86
2016,2,1,9,4.86
2016,2,1,10,4.86
2016,2,1,11,4.86
2016,2,1,12,4.86
2016,2,1,13,4.86
2016,2,1,14,4.86
2016,2,1,15,4.86
2016,2,1,16,4.86
2016,2,1,17,4.86
2016,2,1,18,4.86
2016,2,1,19,4.86
2016,2,1,20,4.86
2016,2,1,21,4.86
2016,2,1,22,4.86
2016,2,1,23,4.86
2016,2,1,24,4.86
2016,2,2,1,8.6
2016,2,2,2,8.6
2016,2,2,3,8.6
2016,2,2,4,8.6
2016,2,2,5,8.6
2016,2,2,6,8.6
2016,2,2,7,8.6
2016,2,2,8,8.6
2016,2,2,9,8.6
2016,2,2,10,8.6
2016,2,2,11,8.6
2016,2,2,12,8.6
2016,2,2,13,8.6
2016,2,2,14,8.6
2016,2,2,15,8.6
2016,2,2,16,8.6
2016,2,2,17,8.6
2016,2,2,18,8.6
2016,2,2,19,8.6
2016,2,2,20,8.6
2016,2,2,21,8.6
2016,2,2,22,8.6
2016,2,2,23,8.6
2016,2,2,24,8.6
2016,2,3,1,7.33
2016,2,3,2,7.33
2016,2,3,3,7.33
2016,2,3,4,7.33
2016,2,3,5,7.33
2016,2,3,6,7.33
2016,2,3,7,7.33
2016,2,3,8,7.33
2016,2,3,9,7.33
2016,2,3,10,7.33
2016,2,3,11,7.33
2016,2,3,12,7.33
2016,2,3,13,7.33
2016,2,3,14,7.33
2016,2,3,15,7.33
2016,2,3,16,7.33
2016,2,3,17,7.33
2016,2,3,18,7.33
2016,2,3,19,7.33
2016,2,3,20,7.33
2016,2,3,21,7.33
2016,2,3,22,7.33
2016,2,3,23,7.33
2016,2,3,24,7.33
2016,2,4,1,14.97
2016,2,4,2,14.97
2016,2,4,3,14.97
2016,2,4,4,14.97
2016,2,4,5,14.97
2016,2,4,6,14.97
2016,2,4,7,14.97
2016,2,4,8,14.97
2016,2,4,9,14.97
2016,2,4,10,14.97
2016,2,4,11,14.97
2016,2,4,12,14.97
2016,2,4,13,14.97
2016,2,4,14,14.97
2016,2,4,15,14.97
2016,2,4,16,14.97
2016,2,4,17,14.97
2016,2,4,18,14.97
2016,2,4,19,14.97
2016,2,4,20,14.97
2016,2,4,21,14.97
2016,2,4,22,14.97
2016,2,4,23,14.97
2016,2,4,24,14.97
2016,2,5,1,40.63
2016,2,5,2,40.63
2016,2,5,3,40.63
2016,2,5,4,40.63
2016,2,5,5,40.63
2016,2,5,6,40.63
2016,2,5,7,40.63
2016,2,5,8,40.63
2016,2,5,9,40.63
2016,2,5,10,40.63
2016,2,5,11,40.63
2016,2,5,12,40.63
2016,2,5,13,40.63
2016,2,5,14,40.63
2016,2,5,15,40.63
2016,2,5,16,40.63
2016,2,5,17,40.63
2016,2,5,18,40.63
2016,2,5,19,40.63
2016,2,5,20,40.63
2016,2,5,21,40.63
2016,2,5,22,40.63
2016,2,5,23,40.63
2016,2,5,24,40.63
2016,2,6,1,60
2016,2,6,2,60
2016,2,6,3,60
2016,2,6,4,60
2016,2,6,5,60
2016,2,6,6,60
2016,2,6,7,60
2016,2,6,8,60
2016,2,6,9,60
2016,2,6,10,60
2016,2,6,11,60
2016,2,6,12,60
2016,2,6,13,60
2016,2,6,14,60
2016,2,6,15,60
2016,2,6,16,60
2016,2,6,17,60
2016,2,6,18,60
2016,2,6,19,60
2016,2,6,20,60
2016,2,6,21,60
2016,2,6,22,60
2016,2,6,23,60
2016,2,6,24,60
2016,2,7,1,48.83
2016,2,7,2,48.83
2016,2,7,3,48.83
2016,2,7,4,48.83
2016,2,7,5,48.83
2016,2,7,6,48.83
2016,2,7,7,48.83
2016,2,7,8,48.83
2016,2,7,9,48.83
2016,2,7,10,48.83
2016,2,7,11,48.83
2016,2,7,12,48.83
2016,2,7,13,48.83
2016,2,7,14,48.83
2016,2,7,15,48.83
2016,2,7,16,48.83
2016,2,7,17,48.83
2016,2,7,18,48.83
2016,2,7,19,48.83
2016,2,7,20,48.83
2016,2,7,21,48.83
2016,2,7,22,48.83
2016,2,7,23,48.83
2016,2,7,24,48.83
2016,2,8,1,26.95
2016,2,8,2,26.95
2016,2,8,3,26.95
2016,2,8,4,26.95
2016,2,8,5,26.95
2016,2,8,6,26.95
2016,2,8,7,26.95
2016,2,8,8,26.95
2016,2,8,9,26.95
2016,2,8,10,26.95
2016,2,8,11,26.95
2016,2,8,12,26.95
2016,2,8,13,26.95
2016,2,8,14,26.95
2016,2,8,15,26.95
2016,2,8,16,26.95
2016,2,8,17,26.95
2016,2,8,18,26.95
2016,2,8,19,26.95
2016,2,8,20,26.95
2016,2,8,21,26.95
2016,2,8,22,26.95
2016,2,8,23,26.95
2016,2,8,24,26.95
2016,2,9,1,8.45
2016,2,9,2,8.45
2016,2,9,3,8.45
2016,2,9,4,8.45
2016,2,9,5,8.45
2016,2,9,6,8.45
2016,2,9,7,8.45
2016,2,9,8,8.45
2016,2,9,9,8.45
2016,2,9,10,8.45
2016,2,9,11,8.45
2016,2,9,12,8.45
2016,2,9,13,8.45
2016,2,9,14,8.45
2016,2,9,15,8.45
2016,2,9,16,8.45
2016,2,9,17,8.45
2016,2,9,18,8.45
2016,2,9,19,8.45
2016,2,9,20,8.45
2016,2,9,21,8.45
2016,2,9,22,8.45
2016,2,9,23,8.45
2016,2,9,24,8.45
2016,2,10,1,1.7
2016,2,10,2,1.7
2016,2,10,3,1.7
2016,2,10,4,1.7
2016,2,10,5,1.7
2016,2,10,6,1.7
2016,2,10,7,1.7
2016,2,10,8,1.7
2016,2,10,9,1.7
2016,2,10,10,1.7
2016,2,10,11,1.7
2016,2,10,12,1.7
2016,2,10,13,1.7
2016,2,10,14,1.7
2016,2,10,15,1.7
2016,2,10,16,1.7
2016,2,10,17,1.7
2016,2,10,18,1.7
2016,2,10,19,1.7
2016,2,10,20,1.7
2016,2,10,21,1.7
2016,2,10,22,1.7
2016,2,10,23,1.7
2016,2,10,24,1.7
2016,2,11,1,1.09
2016,2,11,2,1.09
2016,2,11,3,1.09
2016,2,11,4,1.09
2016,2,11,5,1.09
2016,2,11,6,1.09
2016,2,11,7,1.09
2016,2,11,8,1.09
2016,2,11,9,1.09
2016,2,11,10,1.09
2016,2,11,11,1.09
2016,2,11,12,1.09
2016,2,11,13,1.09
2016,2,11,14,1.09
2016,2,11,15,1.09
2016,2,11,16,1.09
2016,2,11,17,1.09
2016,2,11,18,1.09
2016,2,11,19,1.09
2016,2,11,20,1.09
2016,2,11,21,1.09
2016,2,11,22,1.09
2016,2,11,23,1.09
2016,2,11,24,1.09
2016,2,12,1,0.49
2016,2,12,2,0.49
2016,2,12,3,0.49
2016,2,12,4,0.49
2016,2,12,5,0.49
2016,2,12,6,0.49
2016,2,12,7,0.49
2016,2,12,8,0.49
2016,2,12,9,0.49
2016,2,12,10,0.49
2016,2,12,11,0.49
2016,2,12,12,0.49
2016,2,12,13,0.49
2016,2,12,14,0.49
2016,2,12,15,0.49
2016,2,12,16,0.49
2016,2,12,17,0.49
2016,2,12,18,0.49
2016,2,12,19,0.49
2016,2,12,20,0.49
2016,2,12,21,0.49
2016,2,12,22,0.49
2016,2,12,23,0.49
2016,2,12,24,0.49
2016,2,13,1,0
2016,2,13,2,0
2016,2,13,3,0
2016,2,13,4,0
2016,2,13,5,0
2016,2,13,6,0
2016,2,13,7,0
2016,2,13,8,0
2016,2,13,9,0
2016,2,13,10,0
2016,2,13,11,0
2016,2,13,12,0
2016,2,13,13,0
2016,2,13,14,0
2016,2,13,15,0
2016,2,13,16,0
2016,2,13,17,0
2016,2,13,18,0
2016,2,13,19,0
2016,2,13,20,0
2016,2,13,21,0
2016,2,13,22,0
2016,2,13,23,0
2016,2,13,24,0
2016,2,14,1,0
2016,2,14,2,0
2016,2,14,3,0
2016,2,14,4,0
2016,2,14,5,0
2016,2,14,6,0
2016,2,14,7,0
2016,2,14,8,0
2016,2,14,9,0
2016,2,14,10,0
2016,2,14,11,0
2016,2,14,12,0
2016,2,14,13,0
2016,2,14,14,0
2016,2,14,15,0
2016,2,14,16,0
2016,2,14,17,0
2016,2,14,18,0
2016,2,14,19,0
2016,2,14,20,0
2016,2,14,21,0
2016,2,14,22,0
2016,2,14,23,0
2016,2,14,24,0
2016,2,15,1,0
2016,2,15,2,0
2016,2,15,3,0
2016,2,15,4,0
2016,2,15,5,0
2016,2,15,6,0
2016,2,15,7,0
2016,2,15,8,0
2016,2,15,9,0
2016,2,15,10,0
2016,2,15,11,0
