year,month,day,hour,Node2
2016,1,10,12,69.5
2016,1,10,13,75.7
2016,1,10,14,78.5
2016,1,10,15,75.3
2016,1,10,16,71.5
2016,1,10,17,64.9
2016,1,10,18,62.5
2016,1,10,19,66.5
2016,1,10,20,66.7
2016,1,10,21,68.2
2016,1,10,22,63.7
2016,1,10,23,58.6
2016,1,10,24,55.5
2016,1,11,1,58.4
2016,1,11,2,56.8
2016,1,11,3,54.6
2016,1,11,4,53.3
2016,1,11,5,53.1
2016,1,11,6,54.5
2016,1,11,7,65.4
2016,1,11,8,78
2016,1,11,9,84.4
2016,1,11,10,84.5
2016,1,11,11,80.5
2016,1,11,12,77.3
2016,1,11,13,84.1
2016,1,11,14,87.2
2016,1,11,15,83.6
2016,1,11,16,79.5
2016,1,11,17,72.1
2016,1,11,18,69.5
2016,1,11,19,73.9
2016,1,11,20,74.1
2016,1,11,21,75.8
2016,1,11,22,70.8
2016,1,11,23,65
2016,1,11,24,61.7
2016,1,12,1,58.4
2016,1,12,2,56.8
2016,1,12,3,54.6
2016,1,12,4,53.3
2016,1,12,5,53.1
2016,1,12,6,54.5
2016,1,12,7,65.4
2016,1,12,8,78
2016,1,12,9,84.4
2016,1,12,10,84.5
2016,1,12,11,80.5
2016,1,12,12,77.3
2016,1,12,13,84.1
2016,1,12,14,87.2
2016,1,12,15,83.6
2016,1,12,16,79.5
2016,1,12,17,72.1
2016,1,12,18,69.5
2016,1,12,19,73.9
2016,1,12,20,74.1
2016,1,12,21,75.8
2016,1,12,22,70.8
2016,1,12,23,65
2016,1,12,24,61.7
2016,1,13,1,58.4
2016,1,13,2,56.8
2016,1,13,3,54.6
2016,1,13,4,53.3
2016,1,13,5,53.1
2016,1,13,6,54.5
2016,1,13,7,65.4
2016,1,13,8,78
2016,1,13,9,84.4
2016,1,13,10,84.5
2016,1,13,11,80.5
2016,1,13,12,77.3
2016,1,13,13,84.1
2016,1,13,14,87.2
2016,1,13,15,83.6
2016,1,13,16,79.5
2016,1,13,17,72.1
2016,1,13,18,69.5
2016,1,13,19,73.9
2016,1,13,20,74.1
2016,1,13,21,75.8
2016,1,13,22,70.8
2016,1,13,23,65
2016,1,13,24,61.7
2016,1,14,1,58.4
2016,1,14,2,56.8
2016,1,14,3,54.6
2016,1,14,4,53.3
2016,1,14,5,53.1
2016,1,14,6,54.5
2016,1,14,7,65.4
2016,1,14,8,78
2016,1,14,9,84.4
2016,1,14,10,84.5
2016,1,14,11,80.5
2016,1,14,12,77.3
2016,1,14,13,84.1
2016,1,14,14,87.2
2016,1,14,15,83.6
2016,1,14,16,79.5
2016,1,14,17,72.1
2016,1,14,18,69.5
2016,1,14,19,73.9
2016,1,14,20,74.1
2016,1,14,21,75.8
2016,1,14,22,70.8
2016,1,14,23,65
2016,1,14,24,61.7
2016,1,15,1,58.4
2016,1,15,2,56.8
2016,1,15,3,54.6
2016,1,15,4,53.3
2016,1,15,5,53.1
2016,1,15,6,54.5
2016,1,15,7,65.4
2016,1,15,8,78
2016,1,15,9,84.4
2016,1,15,10,84.5
2016,1,15,11,80.5
2016,1,15,12,77.3
2016,1,15,13,84.1
2016,1,15,14,87.2
2016,1,15,15,83.6
2016,1,15,16,79.5
2016,1,15,17,72.1
2016,1,15,18,69.5
2016,1,15,19,73.9
2016,1,15,20,74.1
2016,1,15,21,75.8
2016,1,15,22,70.8
2016,1,15,23,65
2016,1,15,24,61.7
2016,1,16,1,52.5
2016,1,16,2,51.2
2016,1,16,3,49.2
2016,1,16,4,48
2016,1,16,5,47.8
2016,1,16,6,49.1
2016,1,16,7,58.8
2016,1,16,8,70.2
2016,1,16,9,75.9
2016,1,16,10,76
2016,1,16,11,72.5
2016,1,16,12,69.5
2016,1,16,13,75.7
2016,1,16,14,78.5
2016,1,16,15,75.3
2016,1,16,16,71.5
2016,1,16,17,64.9
2016,1,16,18,62.5
2016,1,16,19,66.5
2016,1,16,20,66.7
2016,1,16,21,68.2
2016,1,16,22,63.7
2016,1,16,23,58.6
2016,1,16,24,55.5
2016,1,17,1,52.5
2016,1,17,2,51.2
2016,1,17,3,49.2
2016,1,17,4,48
2016,1,17,5,47.8
2016,1,17,6,49.1
2016,1,17,7,58.8
2016,1,17,8,70.2
2016,1,17,9,75.9
2016,1,17,10,76
2016,1,17,11,72.5
2016,1,17,12,69.5
2016,1,17,13,75.7
2016,1,17,14,78.5
2016,1,17,15,75.3
2016,1,17,16,71.5
2016,1,17,17,64.9
2016,1,17,18,62.5
2016,1,17,19,66.5
2016,1,17,20,66.7
2016,1,17,21,68.2
2016,1,17,22,63.7
2016,1,17,23,58.6
2016,1,17,24,55.5
2016,1,18,1,58.4
2016,1,18,2,56.8
2016,1,18,3,54.6
2016,1,18,4,53.3
2016,1,18,5,53.1
2016,1,18,6,54.5
2016,1,18,7,65.4
2016,1,18,8,78
2016,1,18,9,84.4
2016,1,18,10,84.5
2016,1,18,11,80.5
2016,1,18,12,77.3
2016,1,18,13,84.1
2016,1,18,14,87.2
2016,1,18,15,83.6
2016,1,18,16,79.5
2016,1,18,17,72.1
2016,1,18,18,69.5
2016,1,18,19,73.9
2016,1,18,20,74.1
2016,1,18,21,75.8
2016,1,18,22,70.8
2016,1,18,23,65
2016,1,18,24,61.7
2016,1,19,1,58.4
2016,1,19,2,56.8
2016,1,19,3,54.6
2016,1,19,4,53.3
2016,1,19,5,53.1
2016,1,19,6,54.5
2016,1,19,7,65.4
2016,1,19,8,78
2016,1,19,9,84.4
2016,1,19,10,84.5
2016,1,19,11,80.5
2016,1,19,12,77.3
2016,1,19,13,84.1
2016,1,19,14,87.2
2016,1,19,15,83.6
2016,1,19,16,79.5
2016,1,19,17,72.1
2016,1,19,18,69.5
2016,1,19,19,73.9
2016,1,19,20,74.1
2016,1,19,21,75.8
2016,1,19,22,70.8
2016,1,19,23,65
2016,1,19,24,61.7
2016,1,20,1,58.4
2016,1,20,2,56.8
2016,1,20,3,54.6
2016,1,20,4,53.3
2016,1,20,5,53.1
2016,1,20,6,54.5
2016,1,20,7,65.4
2016,1,20,8,78
2016,1,20,9,84.4
2016,1,20,10,84.5
2016,1,20,11,80.5
2016,1,20,12,77.3
2016,1,20,13,84.1
2016,1,20,14,87.2
2016,1,20,15,83.6
2016,1,20,16,79.5
2016,1,20,17,72.1
2016,1,20,18,69.5
2016,1,20,19,73.9
2016,1,20,20,74.1
2016,1,20,21,75.8
2016,1,20,22,70.8
2016,1,20,23,65
2016,1,20,24,61.7
2016,1,21,1,58.4
2016,1,21,2,56.8
2016,1,21,3,54.6
2016,1,21,4,53.3
2016,1,21,5,53.1
2016,1,21,6,54.5
2016,1,21,7,65.4
2016,1,21,8,78
2016,1,21,9,84.4
2016,1,21,10,84.5
2016,1,21,11,80.5
2016,1,21,12,77.3
2016,1,21,13,84.1
2016,1,21,14,87.2
2016,1,21,15,83.6
2016,1,21,16,79.5
2016,1,21,17,72.1
2016,1,21,18,69.5
2016,1,21,19,73.9
2016,1,21,20,74.1
2016,1,21,21,75.8
2016,1,21,22,70.8
2016,1,21,23,65
2016,1,21,24,61.7
2016,1,22,1,58.4
2016,1,22,2,56.8
2016,1,22,3,54.6
2016,1,22,4,53.3
2016,1,22,5,53.1
2016,1,22,6,54.5
2016,1,22,7,65.4
2016,1,22,8,78
2016,1,22,9,84.4
2016,1,22,10,84.5
2016,1,22,11,80.5
2016,1,22,12,77.3
2016,1,22,13,84.1
2016,1,22,14,87.2
2016,1,22,15,83.6
2016,1,22,16,79.5
2016,1,22,17,72.1
2016,1,22,18,69.5
2016,1,22,19,73.9
2016,1,22,20,74.1
2016,1,22,21,75.8
2016,1,22,22,70.8
2016,1,22,23,65
2016,1,22,24,61.7
2016,1,23,1,52.5
2016,1,23,2,51.2
2016,1,23,3,49.2
2016,1,23,4,48
2016,1,23,5,47.8
2016,1,23,6,49.1
2016,1,23,7,58.8
2016,1,23,8,70.2
2016,1,23,9,75.9
2016,1,23,10,76
2016,1,23,11,72.5
2016,1,23,12,69.5
2016,1,23,13,75.7
2016,1,23,14,78.5
2016,1,23,15,75.3
2016,1,23,16,71.5
2016,1,23,17,64.9
2016,1,23,18,62.5
2016,1,23,19,66.5
2016,1,23,20,66.7
2016,1,23,21,68.2
2016,1,23,22,63.7
2016,1,23,23,58.6
2016,1,23,24,55.5
2016,1,24,1,52.5
2016,1,24,2,51.2
2016,1,24,3,49.2
2016,1,24,4,48
2016,1,24,5,47.8
2016,1,24,6,49.1
2016,1,24,7,58.8
2016,1,24,8,70.2
2016,1,24,9,75.9
2016,1,24,10,76
2016,1,24,11,72.5
2016,1,24,12,69.5
2016,1,24,13,75.7
2016,1,24,14,78.5
2016,1,24,15,75.3
2016,1,24,16,71.5
2016,1,24,17,64.9
2016,1,24,18,62.5
2016,1,24,19,66.5
2016,1,24,20,66.7
2016,1,24,21,68.2
2016,1,24,22,63.7
2016,1,24,23,58.6
2016,1,24,24,55.5
2016,1,25,1,58.4
2016,1,25,2,56.8
2016,1,25,3,54.6
2016,1,25,4,53.3
2016,1,25,5,53.1
2016,1,25,6,54.5
2016,1,25,7,65.4
2016,1,25,8,78
2016,1,25,9,84.4
2016,1,25,10,84.5
2016,1,25,11,80.5
2016,1,25,12,77.3
2016,1,25,13,84.1
2016,1,25,14,87.2
2016,1,25,15,83.6
2016,1,25,16,79.5
2016,1,25,17,72.1
2016,1,25,18,69.5
2016,1,25,19,73.9
2016,1,25,20,74.1
2016,1,25,21,75.8
2016,1,25,22,70.8
2016,1,25,23,65
2016,1,25,24,61.7
2016,1,26,1,58.4
2016,1,26,2,56.8
2016,1,26,3,54.6
2016,1,26,4,53.3
2016,1,26,5,53.1
2016,1,26,6,54.5
2016,1,26,7,65.4
2016,1,26,8,78
2016,1,26,9,84.4
2016,1,26,10,84.5
2016,1,26,11,80.5
2016,1,26,12,77.3
2016,1,26,13,84.1
2016,1,26,14,87.2
2016,1,26,15,83.6
2016,1,26,16,79.5
2016,1,26,17,72.1
2016,1,26,18,69.5
2016,1,26,19,73.9
2016,1,26,20,74.1
2016,1,26,21,75.8
2016,1,26,22,70.8
2016,1,26,23,65
2016,1,26,24,61.7
2016,1,27,1,58.4
2016,1,27,2,56.8
2016,1,27,3,54.6
2016,1,27,4,53.3
2016,1,27,5,53.1
2016,1,27,6,54.5
2016,1,27,7,65.4
2016,1,27,8,78
2016,1,27,9,84.4
2016,1,27,10,84.5
2016,1,27,11,80.5
2016,1,27,12,77.3
2016,1,27,13,84.1
2016,1,27,14,87.2
2016,1,27,15,83.6
2016,1,27,16,79.5
2016,1,27,17,72.1
2016,1,27,18,69.5
2016,1,27,19,73.9
2016,1,27,20,74.1
2016,1,27,21,75.8
2016,1,27,22,70.8
2016,1,27,23,65
2016,1,27,24,61.7
2016,1,28,1,58.4
2016,1,28,2,56.8
2016,1,28,3,54.6
2016,1,28,4,53.3
2016,1,28,5,53.1
2016,1,28,6,54.5
2016,1,28,7,65.4
2016,1,28,8,78
2016,1,28,9,84.4
2016,1,28,10,84.5
2016,1,28,11,80.5
2016,1,28,12,77.3
2016,1,28,13,84.1
2016,1,28,14,87.2
2016,1,28,15,83.6
2016,1,28,16,79.5
2016,1,28,17,72.1
2016,1,28,18,69.5
2016,1,28,19,73.9
2016,1,28,20,74.1
2016,1,28,21,75.8
2016,1,28,22,70.8
2016,1,28,23,65
2016,1,28,24,61.7
2016,1,29,1,58.4
2016,1,29,2,56.8
2016,1,29,3,54.6
2016,1,29,4,53.3
2016,1,29,5,53.1
2016,1,29,6,54.5
2016,1,29,7,65.4
2016,1,29,8,78
2016,1,29,9,84.4
2016,1,29,10,84.5
2016,1,29,11,80.5
2016,1,29,12,77.3
2016,1,29,13,84.1
2016,1,29,14,87.2
2016,1,29,15,83.6
2016,1,29,16,79.5
2016,1,29,17,72.1
2016,1,29,18,69.5
2016,1,29,19,73.9
2016,1,29,20,74.1
2016,1,29,21,75.8
2016,1,29,22,70.8
2016,1,29,23,65
2016,1,29,24,61.7
2016,1,30,1,52.5
2016,1,30,2,51.2
2016,1,30,3,49.2
2016,1,30,4,48
2016,1,30,5,47.8
2016,1,30,6,49.1
2016,1,30,7,58.8
2016,1,30,8,70.2
2016,1,30,9,75.9
2016,1,30,10,76
2016,1,30,11,72.5
2016,1,30,12,69.5
2016,1,30,13,75.7
2016,1,30,14,78.5
2016,1,30,15,75.3
2016,1,30,16,71.5
2016,1,30,17,64.9
2016,1,30,18,62.5
2016,1,30,19,66.5
2016,1,30,20,66.7
2016,1,30,21,68.2
2016,1,30,22,63.7
2016,1,30,23,58.6
2016,1,30,24,55.5
2016,1,31,1,52.5
2016,1,31,2,51.2
2016,1,31,3,49.2
2016,1,31,4,48
2016,1,31,5,47.8
2016,1,31,6,49.1
2016,1,31,7,58.8
2016,1,31,8,70.2
2016,1,31,9,75.9
2016,1,31,10,76
2016,1,31,11,72.5
2016,1,31,12,69.5
2016,1,31,13,75.7
2016,1,31,14,78.5
2016,1,31,15,75.3
2016,1,31,16,71.5
2016,1,31,17,64.9
2016,1,31,18,62.5
2016,1,31,19,66.5
2016,1,31,20,66.7
2016,1,31,21,68.2
2016,1,31,22,63.7
2016,1,31,23,58.6
2016,1,31,24,55.5
2016,2,1,1,57.9
2016,2,1,2,56.4
2016,2,1,3,54.2
2016,2,1,4,52.9
2016,2,1,5,52.7
2016,2,1,6,54.1
2016,2,1,7,64.8
2016,2,1,8,77.4
2016,2,1,9,83.6
2016,2,1,10,83.7
2016,2,1,11,79.9
2016,2,1,12,76.6
2016,2,1,13,83.4
2016,2,1,14,86.5
2016,2,1,15,82.9
2016,2,1,16,78.7
2016,2,1,17,71.6
2016,2,1,18,68.9
2016,2,1,19,73.3
2016,2,1,20,73.5
2016,2,1,21,75.2
2016,2,1,22,70.2
2016,2,1,23,64.5
2016,2,1,24,61.2
2016,2,2,1,57.9
2016,2,2,2,56.4
2016,2,2,3,54.2
2016,2,2,4,52.9
2016,2,2,5,52.7
2016,2,2,6,54.1
2016,2,2,7,64.8
2016,2,2,8,77.4
2016,2,2,9,83.6
2016,2,2,10,83.7
2016,2,2,11,79.9
2016,2,2,12,76.6
2016,2,2,13,83.4
2016,2,2,14,86.5
2016,2,2,15,82.9
2016,2,2,16,78.7
2016,2,2,17,71.6
2016,2,2,18,68.9
2016,2,2,19,73.3
2016,2,2,20,73.5
2016,2,2,21,75.2
2016,2,2,22,70.2
2016,2,2,23,64.5
2016,2,2,24,61.2
2016,2,3,1,57.9
2016,2,3,2,56.4
2016,2,3,3,54.2
2016,2,3,4,52.9
2016,2,3,5,52.7
2016,2,3,6,54.1
2016,2,3,7,64.8
2016,2,3,8,77.4
2016,2,3,9,83.6
2016,2,3,10,83.7
2016,2,3,11,79.9
2016,2,3,12,76.6
2016,2,3,13,83.4
2016,2,3,14,86.5
2016,2,3,15,82.9
2016,2,3,16,78.7
2016,2,3,17,71.6
2016,2,3,18,68.9
2016,2,3,19,73.3
2016,2,3,20,73.5
2016,2,3,21,75.2
2016,2,3,22,70.2
2016,2,3,23,64.5
2016,2,3,24,61.2
2016,2,4,1,57.9
2016,2,4,2,56.4
2016,2,4,3,54.2
2016,2,4,4,52.9
2016,2,4,5,52.7
2016,2,4,6,54.1
2016,2,4,7,64.8
2016,2,4,8,77.4
2016,2,4,9,83.6
2016,2,4,10,83.7
2016,2,4,11,79.9
2016,2,4,12,76.6
2016,2,4,13,83.4
2016,2,4,14,86.5
2016,2,4,15,82.9
2016,2,4,16,78.7
2016,2,4,17,71.6
2016,2,4,18,68.9
2016,2,4,19,73.3
2016,2,4,20,73.5
2016,2,4,21,75.2
2016,2,4,22,70.2
2016,2,4,23,64.5
2016,2,4,24,61.2
2016,2,5,1,57.9
2016,2,5,2,56.4
2016,2,5,3,54.2
2016,2,5,4,52.9
2016,2,5,5,52.7
2016,2,5,6,54.1
2016,2,5,7,64.8
2016,2,5,8,77.4
2016,2,5,9,83.6
2016,2,5,10,83.7
2016,2,5,11,79.9
2016,2,5,12,76.6
2016,2,5,13,83.4
2016,2,5,14,86.5
2016,2,5,15,82.9
2016,2,5,16,78.7
2016,2,5,17,71.6
2016,2,5,18,68.9
2016,2,5,19,73.3
2016,2,5,20,73.5
2016,2,5,21,75.2
2016,2,5,22,70.2
2016,2,5,23,64.5
2016,2,5,24,61.2
2016,2,6,1,52.1
2016,2,6,2,50.7
2016,2,6,3,48.8
2016,2,6,4,47.6
2016,2,6,5,47.4
2016,2,6,6,48.7
2016,2,6,7,58.4
2016,2,6,8,69.5
2016,2,6,9,75.3
2016,2,6,10,75.4
2016,2,6,11,71.9
2016,2,6,12,69
2016,2,6,13,75.1
2016,2,6,14,77.9
2016,2,6,15,74.6
2016,2,6,16,70.9
2016,2,6,17,64.4
2016,2,6,18,62
2016,2,6,19,66
2016,2,6,20,66.2
2016,2,6,21,67.7
2016,2,6,22,63.2
2016,2,6,23,58
2016,2,6,24,55
2016,2,7,1,52.1
2016,2,7,2,50.7
2016,2,7,3,48.8
2016,2,7,4,47.6
2016,2,7,5,47.4
2016,2,7,6,48.7
2016,2,7,7,58.4
2016,2,7,8,69.5
2016,2,7,9,75.3
2016,2,7,10,75.4
2016,2,7,11,71.9
2016,2,7,12,69
2016,2,7,13,75.1
2016,2,7,14,77.9
2016,2,7,15,74.6
2016,2,7,16,70.9
2016,2,7,17,64.4
2016,2,7,18,62
2016,2,7,19,66
2016,2,7,20,66.2
2016,2,7,21,67.7
2016,2,7,22,63.2
2016,2,7,23,58
2016,2,7,24,55
2016,2,8,1,57.9
2016,2,8,2,56.4
2016,2,8,3,54.2
2016,2,8,4,52.9
2016,2,8,5,52.7
2016,2,8,6,54.1
2016,2,8,7,64.8
2016,2,8,8,77.4
2016,2,8,9,83.6
2016,2,8,10,83.7
2016,2,8,11,79.9
2016,2,8,12,76.6
2016,2,8,13,83.4
2016,2,8,14,86.5
2016,2,8,15,82.9
2016,2,8,16,78.7
2016,2,8,17,71.6
2016,2,8,18,68.9
2016,2,8,19,73.3
2016,2,8,20,73.5
2016,2,8,21,75.2
2016,2,8,22,70.2
2016,2,8,23,64.5
2016,2,8,24,61.2
2016,2,9,1,57.9
2016,2,9,2,56.4
2016,2,9,3,54.2
2016,2,9,4,52.9
2016,2,9,5,52.7
2016,2,9,6,54.1
2016,2,9,7,64.8
2016,2,9,8,77.4
2016,2,9,9,83.6
2016,2,9,10,83.7
2016,2,9,11,79.9
2016,2,9,12,76.6
2016,2,9,13,83.4
2016,2,9,14,86.5
2016,2,9,15,82.9
2016,2,9,16,78.7
2016,2,9,17,71.6
2016,2,9,18,68.9
2016,2,9,19,73.3
2016,2,9,20,73.5
2016,2,9,21,75.2
2016,2,9,22,70.2
2016,2,9,23,64.5
2016,2,9,24,61.2
2016,2,10,1,57.9
2016,2,10,2,56.4
2016,2,10,3,54.2
2016,2,10,4,52.9
2016,2,10,5,52.7
2016,2,10,6,54.1
2016,2,10,7,64.8
2016,2,10,8,77.4
2016,2,10,9,83.6
2016,2,10,10,83.7
2016,2,10,11,79.9
2016,2,10,12,76.6
2016,2,10,13,83.4
2016,2,10,14,86.5
2016,2,10,15,82.9
2016,2,10,16,78.7
2016,2,10,17,71.6
2016,2,10,18,68.9
2016,2,10,19,73.3
2016,2,10,20,73.5
2016,2,10,21,75.2
2016,2,10,22,70.2
2016,2,10,23,64.5
2016,2,10,24,61.2
2016,2,11,1,57.9
2016,2,11,2,56.4
2016,2,11,3,54.2
2016,2,11,4,52.9
2016,2,11,5,52.7
2016,2,11,6,54.1
2016,2,11,7,64.8
2016,2,11,8,77.4
2016,2,11,9,83.6
2016,2,11,10,83.7
2016,2,11,11,79.9
2016,2,11,12,76.6
2016,2,11,13,83.4
2016,2,11,14,86.5
2016,2,11,15,82.9
2016,2,11,16,78.7
2016,2,11,17,71.6
2016,2,11,18,68.9
2016,2,11,19,73.3
2016,2,11,20,73.5
2016,2,11,21,75.2
2016,2,11,22,70.2
2016,2,11,23,64.5
2016,2,11,24,61.2
2016,2,12,1,57.9
2016,2,12,2,56.4
2016,2,12,3,54.2
2016,2,12,4,52.9
2016,2,12,5,52.7
2016,2,12,6,54.1
2016,2,12,7,64.8
2016,2,12,8,77.4
2016,2,12,9,83.6
2016,2,12,10,83.7
2016,2,12,11,79.9
2016,2,12,12,76.6
2016,2,12,13,83.4
2016,2,12,14,86.5
2016,2,12,15,82.9
2016,2,12,16,78.7
2016,2,12,17,71.6
2016,2,12,18,68.9
2016,2,12,19,73.3
2016,2,12,20,73.5
2016,2,12,21,75.2
2016,2,12,22,70.2
2016,2,12,23,64.5
2016,2,12,24,61.2
2016,2,13,1,52.1
2016,2,13,2,50.7
2016,2,13,3,48.8
2016,2,13,4,47.6
2016,2,13,5,47.4
2016,2,13,6,48.7
2016,2,13,7,58.4
2016,2,13,8,69.5
2016,2,13,9,75.3
2016,2,13,10,75.4
2016,2,13,11,71.9
2016,2,13,12,69
2016,2,13,13,75.1
2016,2,13,14,77.9
2016,2,13,15,74.6
2016,2,13,16,70.9
2016,2,13,17,64.4
2016,2,13,18,62
2016,2,13,19,66
2016,2,13,20,66.2
2016,2,13,21,67.7
2016,2,13,22,63.2
2016,2,13,23,58
2016,2,13,24,55
2016,2,14,1,52.1
2016,2,14,2,50.7
2016,2,14,3,48.8
2016,2,14,4,47.6
2016,2,14,5,47.4
2016,2,14,6,48.7
2016,2,14,7,58.4
2016,2,14,8,69.5
2016,2,14,9,75.3
2016,2,14,10,75.4
2016,2,14,11,71.9
2016,2,14,12,69
2016,2,14,13,75.1
2016,2,14,14,77.9
2016,2,14,15,74.6
2016,2,14,16,70.9
2016,2,14,17,64.4
2016,2,14,18,62
2016,2,14,19,66
2016,2,14,20,66.2
2016,2,14,21,67.7
2016,2,14,22,63.2
2016,2,14,23,58
2016,2,14,24,55
2016,2,15,1,57.9
2016,2,15,2,56.4
2016,2,15,3,54.2
2016,2,15,4,52.9
2016,2,15,5,52.7
2016,2,15,6,54.1
2016,2,15,7,64.8
