bus7,bus8,bus9,bus18,bus19
49.8869,22.948,49.8869,49.8869,11.474
48.5231,22.3206,48.5231,48.5231,11.1603
48.0546,22.1051,48.0546,48.0546,11.0525
49.5605,22.7978,49.5605,49.5605,11.3989
52.3914,24.1001,52.3914,52.3914,12.05
52.5401,24.1684,52.5401,52.5401,12.0842
51.6901,23.7775,51.6901,51.6901,11.8887
54.088,24.8805,54.088,54.088,12.4402
55.5843,25.5688,55.5843,55.5843,12.7844
56.2662,25.8824,56.2662,56.2662,12.9412
55.3645,25.4677,55.3645,55.3645,12.7338
54.8248,25.2194,54.8248,54.8248,12.6097
55.9688,25.7457,55.9688,55.9688,12.8728
56.5182,25.9984,56.5182,56.5182,12.9992
57.1032,26.2675,57.1032,57.1032,13.1337
57.8658,26.6183,57.8658,57.8658,13.3091
62.2706,28.6445,62.2706,62.2706,14.3222
71.4872,32.8841,71.4872,71.4872,16.4421
69.154,31.8108,69.154,69.154,15.9054
66.2907,30.4937,66.2907,66.2907,15.2469
63.0914,29.022,63.0914,63.0914,14.511
59.3621,27.3066,59.3621,59.3621,13.6533
55.3548,25.4632,55.3548,55.3548,12.7316
52.7437,24.2621,52.7437,52.7437,12.131
50.446,23.2051,50.446,50.446,11.6026
49.7447,22.8826,49.7447,49.7447,11.4413
49.0887,22.5808,49.0887,49.0887,11.2904
51.0567,23.4861,51.0567,51.0567,11.7431
56.2241,25.8631,56.2241,56.2241,12.9316
57.0191,26.2288,57.0191,57.0191,13.1144
53.1347,24.442,53.1347,53.1347,12.221
58.5089,26.9141,58.5089,58.5089,13.4571
60.1506,27.6693,60.1506,60.1506,13.8346
61.3528,28.2223,61.3528,61.3528,14.1111
58.8547,27.0732,58.8547,58.8547,13.5366
58.7384,27.0196,58.7384,58.7384,13.5098
62.5873,28.7901,62.5873,62.5873,14.3951
63.253,29.0964,63.253,63.253,14.5482
61.9539,28.4988,61.9539,61.9539,14.2494
59.5204,27.3794,59.5204,59.5204,13.6897
62.1413,28.585,62.1413,62.1413,14.2925
71.9429,33.0937,71.9429,71.9429,16.5469
69.7712,32.0948,69.7712,69.7712,16.0474
66.5331,30.6052,66.5331,66.5331,15.3026
63.1463,29.0473,63.1463,63.1463,14.5237
62.1671,28.5969,62.1671,62.1671,14.2984
59.0938,27.1832,59.0938,59.0938,13.5916
56.6378,26.0534,56.6378,56.6378,13.0267
54.1139,24.8924,54.1139,54.1139,12.4462
53.0022,24.381,53.0022,53.0022,12.1905
52.2201,24.0213,52.2201,52.2201,12.0106
53.9555,24.8195,53.9555,53.9555,12.4098
59.4687,27.3556,59.4687,59.4687,13.6778
58.9387,27.1118,58.9387,58.9387,13.5559
55.2999,25.438,55.2999,55.2999,12.719
60.2185,27.7005,60.2185,60.2185,13.8502
62.3578,28.6846,62.3578,62.3578,14.3423
64.5779,29.7059,64.5779,64.5779,14.8529
61.3075,28.2015,61.3075,61.3075,14.1007
61.7406,28.4007,61.7406,61.7406,14.2003
65.1532,29.9705,65.1532,65.1532,14.9852
65.5927,30.1726,65.5927,65.5927,15.0863
63.5955,29.2539,63.5955,63.5955,14.627
61.6178,28.3442,61.6178,61.6178,14.1721
64.3711,29.6107,64.3711,64.3711,14.8054
74.1695,34.118,74.1695,74.1695,17.059
71.2222,32.7622,71.2222,71.2222,16.3811
68.6627,31.5849,68.6627,68.6627,15.7924
64.6781,29.7519,64.6781,64.6781,14.876
63.7474,29.3238,63.7474,63.7474,14.6619
60.0472,27.6217,60.0472,60.0472,13.8109
56.9416,26.1931,56.9416,56.9416,13.0966
55.3548,25.4632,55.3548,55.3548,12.7316
53.7487,24.7244,53.7487,53.7487,12.3622
53.2123,24.4776,53.2123,53.2123,12.2388
55.2062,25.3948,55.2062,55.2062,12.6974
60.6353,27.8923,60.6353,60.6353,13.9461
58.5929,26.9528,58.5929,58.5929,13.4764
55.4841,25.5227,55.4841,55.4841,12.7613
61.1815,28.1435,61.1815,61.1815,14.0717
64.4939,29.6672,64.4939,64.4939,14.8336
66.2487,30.4744,66.2487,66.2487,15.2372
63.8314,29.3625,63.8314,63.8314,14.6812
64.439,29.6419,64.439,64.439,14.821
69.1572,31.8123,69.1572,69.1572,15.9062
68.7823,31.6399,68.7823,68.7823,15.8199
66.9209,30.7836,66.9209,66.9209,15.3918
64.0059,29.4427,64.0059,64.0059,14.7214
65.6509,30.1994,65.6509,65.6509,15.0997
76.3573,35.1244,76.3573,76.3573,17.5622
74.2406,34.1507,74.2406,74.2406,17.0753
72.279,33.2483,72.279,72.279,16.6242
67.7805,31.179,67.7805,67.7805,15.5895
66.7141,30.6885,66.7141,66.7141,15.3442
61.8084,28.4319,61.8084,61.8084,14.2159
59.543,27.3898,59.543,59.543,13.6949
57.129,26.2793,57.129,57.129,13.1397
55.5132,25.5361,55.5132,55.5132,12.768
54.2302,24.9459,54.2302,54.2302,12.473
55.7943,25.6654,55.7943,55.7943,12.8327
60.6095,27.8804,60.6095,60.6095,13.9402
59.2651,27.262,59.2651,59.2651,13.631
56.4439,25.9642,56.4439,56.4439,12.9821
61.7438,28.4021,61.7438,61.7438,14.2011
65.0627,29.9288,65.0627,65.0627,14.9644
66.2649,30.4818,66.2649,66.2649,15.2409
63.4566,29.19,63.4566,63.4566,14.595
64.9819,29.8917,64.9819,64.9819,14.9458
69.1637,31.8153,69.1637,69.1637,15.9076
68.7629,31.6309,68.7629,68.7629,15.8155
67.4218,31.014,67.4218,67.4218,15.507
64.6975,29.7609,64.6975,64.6975,14.8804
67.1633,30.8951,67.1633,67.1633,15.4476
77.5175,35.658,77.5175,77.5175,17.829
75.6819,34.8137,75.6819,75.6819,17.4068
72.6732,33.4297,72.6732,72.6732,16.7148
68.7629,31.6309,68.7629,68.7629,15.8155
67.509,31.0542,67.509,67.509,15.5271
62.6454,28.8169,62.6454,62.6454,14.4084
59.8921,27.5503,59.8921,59.8921,13.7752
57.6913,26.538,57.6913,57.6913,13.269
55.5229,25.5405,55.5229,55.5229,12.7703
54.8959,25.2521,54.8959,54.8959,12.6261
56.0238,25.7709,56.0238,56.0238,12.8855
60.952,28.0379,60.952,60.952,14.019
59.6755,27.4507,59.6755,59.6755,13.7254
56.4762,25.9791,56.4762,56.4762,12.9895
60.3703,27.7704,60.3703,60.3703,13.8852
62.6648,28.8258,62.6648,62.6648,14.4129
63.9349,29.41,63.9349,63.9349,14.705
61.1589,28.1331,61.1589,61.1589,14.0665
62.1187,28.5746,62.1187,62.1187,14.2873
66.9015,30.7747,66.9015,66.9015,15.3873
67.3927,31.0006,67.3927,67.3927,15.5003
66.5105,30.5948,66.5105,66.5105,15.2974
62.9492,28.9566,62.9492,62.9492,14.4783
63.9381,29.4115,63.9381,63.9381,14.7058
75.8628,34.8969,75.8628,75.8628,17.4485
74.5993,34.3157,74.5993,74.5993,17.1578
70.7956,32.566,70.7956,70.7956,16.283
66.7173,30.69,66.7173,66.7173,15.345
65.3245,30.0493,65.3245,65.3245,15.0246
61.6113,28.3412,61.6113,61.6113,14.1706
58.8321,27.0628,58.8321,58.8321,13.5314
56.3566,25.9241,56.3566,56.3566,12.962
54.8927,25.2506,54.8927,54.8927,12.6253
53.9426,24.8136,53.9426,53.9426,12.4068
55.3064,25.4409,55.3064,55.3064,12.7205
59.1617,27.2144,59.1617,59.1617,13.6072
57.84,26.6064,57.84,57.84,13.3032
56.5538,26.0147,56.5538,56.5538,13.0074
60.3122,27.7436,60.3122,60.3122,13.8718
62.9266,28.9462,62.9266,62.9266,14.4731
64.1708,29.5185,64.1708,64.1708,14.7593
63.3305,29.132,63.3305,63.3305,14.566
64.2645,29.5617,64.2645,64.2645,14.7808
67.8807,31.2251,67.8807,67.8807,15.6126
68.4333,31.4793,68.4333,68.4333,15.7397
68.7338,31.6176,68.7338,68.7338,15.8088
66.5525,30.6141,66.5525,66.5525,15.3071
67.5058,31.0527,67.5058,67.5058,15.5263
78.7067,36.2051,78.7067,78.7067,18.1025
76.8,35.328,76.8,76.8,17.664
74.4765,34.2592,74.4765,74.4765,17.1296
71.652,32.9599,71.652,71.652,16.48
68.8211,31.6577,68.8211,68.8211,15.8289
64.0803,29.4769,64.0803,64.0803,14.7385
61.1072,28.1093,61.1072,61.1072,14.0546
58.092,26.7223,58.092,58.092,13.3612
56.1175,25.8141,56.1175,56.1175,12.907
55.106,25.3488,55.106,55.106,12.6744
55.6392,25.594,55.6392,55.6392,12.797
58.4443,26.8844,58.4443,58.4443,13.4422
56.3211,25.9077,56.3211,56.3211,12.9539
55.3484,25.4603,55.3484,55.3484,12.7301
58.2859,26.8115,58.2859,58.2859,13.4058
60.8713,28.0008,60.8713,60.8713,14.0004
62.0346,28.5359,62.0346,62.0346,14.268
61.2849,28.1911,61.2849,61.2849,14.0955
61.5273,28.3025,61.5273,61.5273,14.1513
63.9575,29.4204,63.9575,63.9575,14.7102
63.9672,29.4249,63.9672,63.9672,14.7124
64.0964,29.4844,64.0964,64.0964,14.7422
63.0688,29.0116,63.0688,63.0688,14.5058
65.0013,29.9006,65.0013,65.0013,14.9503
77.288,35.5525,77.288,77.288,17.7762
75.8499,34.891,75.8499,75.8499,17.4455
73.7978,33.947,73.7978,73.7978,16.9735
70.8053,32.5704,70.8053,70.8053,16.2852
67.2085,30.9159,67.2085,67.2085,15.458
62.5485,28.7723,62.5485,62.5485,14.3861
59.6562,27.4418,59.6562,59.6562,13.7209
56.7606,26.1099,56.7606,56.7606,13.0549
54.5211,25.0797,54.5211,54.5211,12.5398
53.8424,24.7675,53.8424,53.8424,12.3838
54.5502,25.0931,54.5502,54.5502,12.5465
57.9951,26.6777,57.9951,57.9951,13.3389
56.7154,26.0891,56.7154,56.7154,13.0445
56.2403,25.8705,56.2403,56.2403,12.9353
61.4109,28.249,61.4109,61.4109,14.1245
64.6393,29.7341,64.6393,64.6393,14.8671
66.8142,30.7346,66.8142,66.8142,15.3673
64.2742,29.5661,64.2742,64.2742,14.7831
64.0124,29.4457,64.0124,64.0124,14.7229
68.2329,31.3872,68.2329,68.2329,15.6936
68.7985,31.6473,68.7985,68.7985,15.8236
68.3784,31.454,68.3784,68.3784,15.727
64.3582,29.6048,64.3582,64.3582,14.8024
63.8217,29.358,63.8217,63.8217,14.679
76.4898,35.1853,76.4898,76.4898,17.5927
73.4488,33.7865,73.4488,73.4488,16.8932
70.5209,32.4396,70.5209,70.5209,16.2198
66.601,30.6364,66.601,66.601,15.3182
64.8268,29.8203,64.8268,64.8268,14.9102
60.0763,27.6351,60.0763,60.0763,13.8175
57.1355,26.2823,57.1355,57.1355,13.1412
54.7085,25.1659,54.7085,54.7085,12.583
52.8891,24.329,52.8891,52.8891,12.1645
51.7386,23.7998,51.7386,51.7386,11.8999
53.2026,24.4732,53.2026,53.2026,12.2366
58.2859,26.8115,58.2859,58.2859,13.4058
56.5118,25.9954,56.5118,56.5118,12.9977
53.878,24.7839,53.878,53.878,12.3919
59.4687,27.3556,59.4687,59.4687,13.6778
63.0203,28.9893,63.0203,63.0203,14.4947
64.1158,29.4933,64.1158,64.1158,14.7466
62.4774,28.7396,62.4774,62.4774,14.3698
63.421,29.1737,63.421,63.421,14.5868
68.1166,31.3336,68.1166,68.1166,15.6668
69.3931,31.9208,69.3931,69.3931,15.9604
67.8613,31.2162,67.8613,67.8613,15.6081
63.8993,29.3937,63.8993,63.8993,14.6968
64.7169,29.7698,64.7169,64.7169,14.8849
76.8388,35.3459,76.8388,76.8388,17.6729
74.2923,34.1744,74.2923,74.2923,17.0872
71.2384,32.7696,71.2384,71.2384,16.3848
67.5834,31.0884,67.5834,67.5834,15.5442
65.8383,30.2856,65.8383,65.8383,15.1428
61.7923,28.4244,61.7923,61.7923,14.2122
58.7739,27.036,58.7739,58.7739,13.518
57.0838,26.2585,57.0838,57.0838,13.1293
55.4227,25.4944,55.4227,55.4227,12.7472
54.6988,25.1615,54.6988,54.6988,12.5807
55.7426,25.6416,55.7426,55.7426,12.8208
60.603,27.8774,60.603,60.603,13.9387
58.8579,27.0747,58.8579,58.8579,13.5373
56.3308,25.9122,56.3308,56.3308,12.9561
61.3172,28.2059,61.3172,61.3172,14.103
63.9995,29.4398,63.9995,63.9995,14.7199
65.6282,30.189,65.6282,65.6282,15.0945
62.8975,28.9328,62.8975,62.8975,14.4664
63.2918,29.1142,63.2918,63.2918,14.5571
67.509,31.0542,67.509,67.509,15.5271
66.9241,30.7851,66.9241,66.9241,15.3925
65.6541,30.2009,65.6541,65.6541,15.1004
62.1801,28.6028,62.1801,62.1801,14.3014
63.602,29.2569,63.602,63.602,14.6285
75.5591,34.7572,75.5591,75.5591,17.3786
73.5296,33.8236,73.5296,73.5296,16.9118
69.8197,32.1171,69.8197,69.8197,16.0585
65.8932,30.3109,65.8932,65.8932,15.1554
64.5327,29.685,64.5327,64.5327,14.8425
60.8519,27.9919,60.8519,60.8519,13.9959
58.7028,27.0033,58.7028,58.7028,13.5016
56.4633,25.9731,56.4633,56.4633,12.9866
54.8119,25.2135,54.8119,54.8119,12.6067
53.9588,24.821,53.9588,53.9588,12.4105
55.1933,25.3889,55.1933,55.1933,12.6944
59.4073,27.3274,59.4073,59.4073,13.6637
57.9175,26.6421,57.9175,57.9175,13.321
55.3387,25.4558,55.3387,55.3387,12.7279
60.5901,27.8714,60.5901,60.5901,13.9357
63.3758,29.1529,63.3758,63.3758,14.5764
64.9657,29.8842,64.9657,64.9657,14.9421
62.1381,28.5835,62.1381,62.1381,14.2918
62.5679,28.7812,62.5679,62.5679,14.3906
66.6397,30.6543,66.6397,66.6397,15.3271
66.8013,30.7286,66.8013,66.8013,15.3643
65.6929,30.2187,65.6929,65.6929,15.1094
62.7036,28.8437,62.7036,62.7036,14.4218
64.4875,29.6642,64.4875,64.4875,14.8321
76.2539,35.0768,76.2539,76.2539,17.5384
73.8786,33.9842,73.8786,73.8786,16.9921
72.0883,33.1606,72.0883,72.0883,16.5803
67.1762,30.901,67.1762,67.1762,15.4505
65.6088,30.1801,65.6088,65.6088,15.09
61.6792,28.3724,61.6792,61.6792,14.1862
59.068,27.1713,59.068,59.068,13.5856
56.7606,26.1099,56.7606,56.7606,13.0549
54.6568,25.1421,54.6568,54.6568,12.5711
53.8489,24.7705,53.8489,53.8489,12.3852
55.0478,25.322,55.0478,55.0478,12.661
59.724,27.473,59.724,59.724,13.7365
59.4267,27.3363,59.4267,59.4267,13.6681
56.3211,25.9077,56.3211,56.3211,12.9539
60.6612,27.9041,60.6612,60.6612,13.9521
62.8684,28.9195,62.8684,62.8684,14.4597
63.5923,29.2525,63.5923,63.5923,14.6262
60.3639,27.7674,60.3639,60.3639,13.8837
59.3976,27.3229,59.3976,59.3976,13.6615
62.8555,28.9135,62.8555,62.8555,14.4568
62.9104,28.9388,62.9104,62.9104,14.4694
61.97,28.5062,61.97,61.97,14.2531
59.7596,27.4894,59.7596,59.7596,13.7447
62.2447,28.6326,62.2447,62.2447,14.3163
71.7522,33.006,71.7522,71.7522,16.503
69.0085,31.7439,69.0085,69.0085,15.872
66.7399,30.7004,66.7399,66.7399,15.3502
63.0558,29.0057,63.0558,63.0558,14.5028
63.2304,29.086,63.2304,63.2304,14.543
59.3653,27.308,59.3653,59.3653,13.654
56.8058,26.1307,56.8058,56.8058,13.0653
54.9186,25.2625,54.9186,54.9186,12.6313
53.6808,24.6932,53.6808,53.6808,12.3466
53.6485,24.6783,53.6485,53.6485,12.3392
54.6891,25.157,54.6891,54.6891,12.5785
58.6123,26.9617,58.6123,58.6123,13.4808
58.3021,26.819,58.3021,58.3021,13.4095
56.8317,26.1426,56.8317,56.8317,13.0713
59.2942,27.2753,59.2942,59.2942,13.6377
61.802,28.4289,61.802,61.802,14.2145
61.9377,28.4913,61.9377,61.9377,14.2457
60.616,27.8833,60.616,60.616,13.9417
60.7775,27.9577,60.7775,60.7775,13.9788
64.0124,29.4457,64.0124,64.0124,14.7229
64.2677,29.5631,64.2677,64.2677,14.7816
63.7086,29.306,63.7086,63.7086,14.653
62.2059,28.6147,62.2059,62.2059,14.3074
64.2095,29.5364,64.2095,64.2095,14.7682
74.9289,34.4673,74.9289,74.9289,17.2336
73.1095,33.6304,73.1095,73.1095,16.8152
70.8635,32.5972,70.8635,70.8635,16.2986
68.4624,31.4927,68.4624,68.4624,15.7463
65.1338,29.9615,65.1338,65.1338,14.9808
60.9876,28.0543,60.9876,60.9876,14.0271
57.6525,26.5202,57.6525,57.6525,13.2601
54.8927,25.2506,54.8927,54.8927,12.6253
53.3318,24.5326,53.3318,53.3318,12.2663
52.4625,24.1328,52.4625,52.4625,12.0664
52.8535,24.3126,52.8535,52.8535,12.1563
54.98,25.2908,54.98,54.98,12.6454
53.836,24.7645,53.836,53.836,12.3823
53.0022,24.381,53.0022,53.0022,12.1905
55.4582,25.5108,55.4582,55.4582,12.7554
57.7236,26.5529,57.7236,57.7236,13.2764
58.5186,26.9186,58.5186,58.5186,13.4593
57.8723,26.6213,57.8723,57.8723,13.3106
57.4199,26.4131,57.4199,57.4199,13.2066
59.5624,27.3987,59.5624,59.5624,13.6994
60.8131,27.974,60.8131,60.8131,13.987
60.6095,27.8804,60.6095,60.6095,13.9402
60.5642,27.8596,60.5642,60.5642,13.9298
62.7327,28.857,62.7327,62.7327,14.4285
75.433,34.6992,75.433,75.433,17.3496
73.8301,33.9619,73.8301,73.8301,16.9809
71.5745,32.9243,71.5745,71.5745,16.4621
68.2135,31.3782,68.2135,68.2135,15.6891
64.8656,29.8382,64.8656,64.8656,14.9191
60.8195,27.977,60.8195,60.8195,13.9885
57.827,26.6004,57.827,57.827,13.3002
55.5003,25.5301,55.5003,55.5003,12.7651
54.0719,24.8731,54.0719,54.0719,12.4365
53.2123,24.4776,53.2123,53.2123,12.2388
54.3498,25.0009,54.3498,54.3498,12.5005
58.7351,27.0182,58.7351,58.7351,13.5091
57.966,26.6644,57.966,57.966,13.3322
55.9947,25.7576,55.9947,55.9947,12.8788
59.7079,27.4656,59.7079,59.7079,13.7328
63.3532,29.1425,63.3532,63.3532,14.5712
64.1352,29.5022,64.1352,64.1352,14.7511
61.9539,28.4988,61.9539,61.9539,14.2494
62.1025,28.5672,62.1025,62.1025,14.2836
66.1065,30.409,66.1065,66.1065,15.2045
66.7755,30.7167,66.7755,66.7755,15.3584
66.6333,30.6513,66.6333,66.6333,15.3257
63.5244,29.2212,63.5244,63.5244,14.6106
64.4196,29.633,64.4196,64.4196,14.8165
75.9533,34.9385,75.9533,75.9533,17.4693
73.7784,33.9381,73.7784,73.7784,16.969
70.87,32.6002,70.87,70.87,16.3001
67.2602,30.9397,67.2602,67.2602,15.4698
66.1776,30.4417,66.1776,66.1776,15.2209
62.904,28.9358,62.904,62.904,14.4679
60.0375,27.6172,60.0375,60.0375,13.8086
58.2019,26.7729,58.2019,58.2019,13.3864
55.7879,25.6624,55.7879,55.7879,12.8312
55.2353,25.4082,55.2353,55.2353,12.7041
56.3793,25.9345,56.3793,56.3793,12.9672
61.259,28.1792,61.259,61.259,14.0896
60.9262,28.026,60.9262,60.9262,14.013
57.8173,26.596,57.8173,57.8173,13.298
63.6666,29.2866,63.6666,63.6666,14.6433
66.6527,30.6602,66.6527,66.6527,15.3301
68.262,31.4005,68.262,68.262,15.7003
64.9819,29.8917,64.9819,64.9819,14.9458
64.872,29.8411,64.872,64.872,14.9206
69.099,31.7855,69.099,69.099,15.8928
68.8566,31.6741,68.8566,68.8566,15.837
67.4929,31.0467,67.4929,67.4929,15.5234
63.8605,29.3758,63.8605,63.8605,14.6879
